,Cve_Ent,Cve_Mun,nmun,tmax,tmin,Value
137,7,72,Pueblo Nuevo Solistahuacán,26.3,13.6,280
138,7,73,Rayón,25.0525,13.565,381
139,7,74,Reforma,31.86,23.34,420
140,7,75,Las Rosas,27.81,17.22,720
141,7,76,Sabanilla,28.64,16.03,42
142,7,77,Salto de Agua,30.02,19.75,129
143,7,78,San Cristóbal de las Casas,25.26,14.02,397
144,7,79,San Fernando,25.415,19.285,828
145,7,80,Siltepec,25.63,13.71,637
146,7,81,Simojovel,27.23,13.9,754
147,7,82,Sitalá,27.17,14.29,378
148,7,83,Socoltenango,29.49,18.97,448
149,7,84,Solosuchiapa,27.19,16.7,94
150,7,85,Soyaló,24.36,14.75,740
151,7,86,Suchiapa,27.67,17.74,218
152,7,87,Suchiate,31.79,23.32,829
153,7,88,Sunuapa,29.13,21.34,492
154,7,89,Tapachula,30.37,20.78,11
155,7,90,Tapalapa,26.44,15.87,455
156,7,91,Tapilula,25.7,14.4,633
157,7,92,Tecpatán,29.01,21.89,500
158,7,93,Tenejapa,24.15,11.2,665
159,7,94,Teopisca,25.61,15.0,474
160,7,96,Tila,29.11,17.58,39
161,7,97,Tonalá,29.94,17.96,823
162,7,98,Totolapa,28.77,18.67,881
163,7,99,La Trinitaria,26.5,16.28,24
164,7,100,Tumbalá,29.13,17.79,210
165,7,101,Tuxtla Gutiérrez,26.7,17.21,691
166,7,102,Tuxtla Chico,31.06,20.0,299
167,7,103,Tuzantán,30.05,19.53,228
168,7,104,Tzimol,29.88,18.77,699
169,7,105,Unión Juárez,26.31,15.02,740
170,7,107,Villa Corzo,29.49,18.73,139
171,7,108,Villaflores,31.33,20.56,481
172,7,109,Yajalón,28.05,16.04,936
173,7,110,San Lucas,29.395,19.1,703
174,7,111,Zinacantán,26.41,15.99,988
175,7,112,San Juan Cancuc,26.04,13.04,224
176,7,113,Aldama,24.71,14.01,245
177,7,114,Benemérito de las Américas,33.23,18.39,267
178,7,115,Maravilla Tenejapa,30.11,17.7,261
179,7,116,Marqués de Comillas,33.2,18.42,569
180,7,117,Montecristo de Guerrero,24.99,14.59,871
181,7,118,San Andrés Duraznal,26.64,13.43,758
182,7,119,Santiago el Pinar,24.82,11.91,82
183,7,120,Capitán Luis Ángel Vidal,25.63,13.71,115
184,7,121,Rincón Chamula San Pedro,25.96,13.59,112
185,7,122,El Parral,31.84,20.44,223
186,7,124,Mezcalapa,29.69,23.26,772
187,8,1,Ahumada,21.5,6.0,15
188,8,3,Allende,23.27333333333333,13.906666666666666,555
