,Cve_Ent,Cve_Mun,nmun,tmax,tmin,Value
0,1,1,Aguascalientes,28.4,9.83,350
1,1,2,Asientos,27.46,9.84,272
2,1,3,Calvillo,28.88,8.2,540
3,1,4,Cosío,27.45,9.59,854
4,1,5,Jesús María,28.225,11.19,153
5,1,6,Pabellón de Arteaga,27.95,9.68,139
6,1,7,Rincón de Romos,26.87,9.23,342
7,1,8,San José de Gracia,24.6,7.7,930
8,1,9,Tepezalá,28.13,9.91,135
9,1,10,El Llano,27.21,9.96,305
10,1,11,San Francisco de los Romo,28.05,9.79,802
11,2,1,Ensenada,24.38,14.48,239
12,2,2,Mexicali,30.12,18.7,59
13,2,3,Tecate,23.21,11.44,275
14,2,4,Tijuana,25.08,15.3,271
15,2,5,Playas de Rosarito,22.97,17.72,48
16,3,1,Comondú,30.08,17.09,29
17,3,2,Mulegé,26.33,15.1,584
18,3,8,Los Cabos,27.14,16.46,615
19,3,9,Loreto,29.2,13.875,212
20,4,1,Calkiní,32.63,20.91,627
21,4,2,Campeche,33.75,20.39,448
22,4,3,Carmen,31.72,23.94,606
23,4,4,Champotón,34.38,20.44,773
24,4,5,Hecelchakán,33.47,20.57,887
25,4,6,Hopelchén,33.57,19.85,536
26,4,7,Palizada,32.67,23.26,811
27,4,8,Tenabo,33.46,20.61,238
28,4,9,Escárcega,35.12,21.99,79
29,4,10,Calakmul,32.15,19.76,937
30,4,11,Candelaria,34.17,24.38,559
31,5,2,Acuña,24.42,11.68,750
32,5,4,Arteaga,26.205,15.135,236
33,5,5,Candela,25.59,15.57,243
34,5,6,Castaños,24.31,12.79,378
35,5,7,Cuatro Ciénegas,25.75,10.7,815
36,5,8,Escobedo,26.36,14.45,767
37,5,9,Francisco I. Madero,26.01,10.175,47
38,5,10,Frontera,24.69,14.83,785
39,5,11,General Cepeda,24.59,9.26,229
40,5,16,Lamadrid,24.77,11.65,701
41,5,18,Monclova,25.88,14.57,901
42,5,20,Múzquiz,22.11,10.73,94
43,5,21,Nadadores,24.75,12.69,904
44,5,22,Nava,27.75,13.46,191
45,5,24,Parras,26.21,10.31,955
46,5,25,Piedras Negras,27.76,13.1,962
47,5,27,Ramos Arizpe,24.43,11.09,950
48,5,28,Sabinas,26.08,13.98,809
49,5,29,Sacramento,23.11,13.96,770
50,5,30,Saltillo,23.73,8.95,733
51,5,31,San Buenaventura,22.72,10.35,81
52,5,32,San Juan de Sabinas,25.93,12.91,284
53,5,33,San Pedro,26.78,10.46,507
54,5,34,Sierra Mojada,24.03,10.82,88
55,5,35,Torreón,25.3,13.23,97
56,5,36,Viesca,26.9,9.77,278
57,5,37,Villa Unión,26.24,14.75,207
58,6,1,Armería,28.49,20.35,592
59,6,2,Colima,28.29,17.46,705
60,6,3,Comala,26.33,15.25,48
61,6,4,Coquimatlán,28.02,17.83,708
62,6,6,Ixtlahuacán,28.84,18.37,216
63,6,7,Manzanillo,30.07,20.56,680
64,6,9,Tecomán,31.29,21.91,958
65,6,10,Villa de Álvarez,27.3,16.5,289
66,7,1,Acacoyagua,30.4,18.99,993
67,7,2,Acala,26.29,16.63,983
68,7,3,Acapetahua,32.81,23.42,959
69,7,4,Altamirano,26.43,15.76,334
70,7,5,Amatán,26.71,18.0,628
71,7,6,Amatenango de la Frontera,22.95,12.56,223
72,7,7,Amatenango del Valle,24.91,14.79,359
73,7,8,Angel Albino Corzo,24.74,14.89,218
74,7,9,Arriaga,34.2,24.14,358
75,7,10,Bejucal de Ocampo,22.86,11.91,97
76,7,11,Bella Vista,24.93,14.14,37
77,7,12,Berriozábal,24.64,17.54,924
78,7,13,Bochil,23.99,14.47,805
79,7,14,El Bosque,23.85,13.68,363
80,7,15,Cacahoatán,27.64,16.15,730
81,7,16,Catazajá,31.24,23.5,221
82,7,17,Cintalapa,29.98,21.37,309
83,7,18,Coapilla,26.66,16.89,445
84,7,19,Comitán de Domínguez,27.06,17.02,61
85,7,20,La Concordia,26.69,16.94,559
86,7,21,Copainalá,23.67,16.97,847
87,7,22,Chalchihuitán,26.37,13.33,221
88,7,23,Chamula,21.04,11.7,689
89,7,24,Chanal,21.44,11.3,319
90,7,25,Chapultenango,24.07,17.15,701
91,7,26,Chenalhó,25.88,12.9,464
92,7,27,Chiapa de Corzo,26.71,16.77,534
93,7,28,Chiapilla,29.02,19.34,223
94,7,29,Chicoasén,24.49,15.74,391
95,7,30,Chicomuselo,26.75,16.64,319
96,7,31,Chilón,29.3,17.68,115
97,7,32,Escuintla,30.11,18.86,394
98,7,33,Francisco León,26.04,19.38,718
99,7,34,Frontera Comalapa,26.23,16.38,918
100,7,35,Frontera Hidalgo,32.55,21.76,790
101,7,36,La Grandeza,23.44,12.48,665
102,7,37,Huehuetán,32.09,21.99,690
103,7,38,Huixtán,23.79,12.68,326
104,7,39,Huitiupán,27.86,15.84,457
105,7,40,Huixtla,32.33,22.51,830
106,7,41,La Independencia,24.38,15.77,484
107,7,42,Ixhuatán,26.17,15.84,301
108,7,43,Ixtacomitán,27.34,19.51,901
109,7,44,Ixtapa,23.31,14.16,634
110,7,45,Ixtapangajoya,28.39,20.64,234
111,7,46,Jiquipilas,30.93,21.71,227
112,7,47,Jitotol,25.41,13.73,622
113,7,48,Juárez,25.688,15.524,663
114,7,49,Larráinzar,24.48,12.72,668
115,7,50,La Libertad,30.5,23.95,490
116,7,51,Mapastepec,29.64,19.83,118
117,7,52,Las Margaritas,25.7,16.27,163
118,7,53,Mazapa de Madero,23.34,11.77,665
119,7,54,Mazatán,30.155,18.035,76
120,7,55,Metapa,32.34,20.83,838
121,7,56,Mitontic,23.88,11.65,879
122,7,57,Motozintla,26.39,14.82,549
123,7,58,Nicolás Ruíz,27.91,18.85,409
124,7,59,Ocosingo,29.98,19.31,543
125,7,60,Ocotepec,25.06,13.56,689
126,7,61,Ocozocoautla de Espinosa,25.11,18.95,276
127,7,62,Ostuacán,28.68,22.11,515
128,7,63,Osumacinta,25.38,15.99,202
129,7,64,Oxchuc,25.0,13.57,911
130,7,65,Palenque,30.7,22.2,480
131,7,66,Pantelhó,27.98,14.82,961
132,7,67,Pantepec,24.485,17.03,40
133,7,68,Pichucalco,28.94,22.08,39
134,7,69,Pijijiapan,31.11,21.0,310
135,7,70,El Porvenir,24.19,12.71,548
136,7,71,Villa Comaltitlán,32.63,23.19,534
137,7,72,Pueblo Nuevo Solistahuacán,26.16,14.75,280
138,7,73,Rayón,24.65,12.915,381
139,7,74,Reforma,31.04,24.15,420
140,7,75,Las Rosas,27.12,17.73,720
141,7,76,Sabanilla,28.61,17.06,42
142,7,77,Salto de Agua,30.41,20.75,129
143,7,78,San Cristóbal de las Casas,25.05,14.68,397
144,7,79,San Fernando,26.035,18.96,828
145,7,80,Siltepec,25.57,14.05,637
146,7,81,Simojovel,27.27,14.75,754
147,7,82,Sitalá,28.48,15.2,378
148,7,83,Socoltenango,28.27,19.08,448
149,7,84,Solosuchiapa,27.14,17.86,94
150,7,85,Soyaló,24.51,14.97,740
151,7,86,Suchiapa,27.07,17.5,218
152,7,87,Suchiate,31.86,22.91,829
153,7,88,Sunuapa,28.7,22.06,492
154,7,89,Tapachula,30.47,20.52,11
155,7,90,Tapalapa,26.05,16.54,455
156,7,91,Tapilula,25.5,15.3,633
157,7,92,Tecpatán,27.99,21.45,500
