,Cve_Ent,Cve_Mun,nmun,tmax,tmin,Value
0,1,1,Aguascalientes,28.69,9.2,350
1,1,2,Asientos,27.15,9.22,272
2,1,3,Calvillo,28.99,7.73,540
3,1,4,Cosío,26.82,9.22,854
4,1,5,Jesús María,28.31,10.925,153
5,1,6,Pabellón de Arteaga,27.47,9.07,139
6,1,7,Rincón de Romos,26.29,8.81,342
7,1,8,San José de Gracia,24.23,7.24,930
8,1,9,Tepezalá,27.52,9.4,135
9,1,10,El Llano,27.23,9.39,305
10,1,11,San Francisco de los Romo,27.67,9.12,802
11,2,1,Ensenada,24.21,14.22,239
12,2,2,Mexicali,30.57,18.43,59
13,2,3,Tecate,23.29,11.02,275
14,2,4,Tijuana,25.22,15.05,271
15,2,5,Playas de Rosarito,22.95,17.32,48
16,3,1,Comondú,29.92,17.14,29
17,3,2,Mulegé,26.11,15.16,584
18,3,8,Los Cabos,27.37,16.53,615
19,3,9,Loreto,28.975,13.615,212
20,4,1,Calkiní,33.12,21.08,627
21,4,2,Campeche,34.04,20.24,448
22,4,3,Carmen,31.14,23.76,606
23,4,4,Champotón,34.07,20.69,773
24,4,5,Hecelchakán,33.89,20.66,887
25,4,6,Hopelchén,32.98,19.82,536
26,4,7,Palizada,32.45,23.15,811
27,4,8,Tenabo,33.89,20.67,238
28,4,9,Escárcega,34.51,21.81,79
29,4,10,Calakmul,30.74,19.55,937
30,4,11,Candelaria,33.92,24.01,559
31,5,2,Acuña,24.27,11.57,750
32,5,4,Arteaga,25.9,14.88,236
33,5,5,Candela,25.07,14.98,243
34,5,6,Castaños,23.6,12.41,378
35,5,7,Cuatro Ciénegas,25.16,10.86,815
36,5,8,Escobedo,25.59,14.54,767
37,5,9,Francisco I. Madero,25.845,10.285,47
38,5,10,Frontera,24.03,15.02,785
39,5,11,General Cepeda,23.95,9.06,229
40,5,16,Lamadrid,23.94,11.9,701
41,5,18,Monclova,25.2,14.28,901
42,5,20,Múzquiz,21.56,11.13,94
43,5,21,Nadadores,23.92,12.93,904
44,5,22,Nava,27.22,13.75,191
45,5,24,Parras,25.86,10.1,955
46,5,25,Piedras Negras,27.02,13.52,962
47,5,27,Ramos Arizpe,23.92,10.83,950
48,5,28,Sabinas,25.52,14.72,809
49,5,29,Sacramento,22.43,14.14,770
50,5,30,Saltillo,23.54,8.57,733
51,5,31,San Buenaventura,21.98,10.75,81
52,5,32,San Juan de Sabinas,25.48,13.74,284
53,5,33,San Pedro,26.51,10.32,507
54,5,34,Sierra Mojada,23.91,10.87,88
55,5,35,Torreón,25.65,13.13,97
56,5,36,Viesca,26.88,9.57,278
57,5,37,Villa Unión,25.63,15.4,207
58,6,1,Armería,28.37,20.43,592
59,6,2,Colima,28.32,17.67,705
60,6,3,Comala,26.4,15.35,48
61,6,4,Coquimatlán,27.98,17.98,708
62,6,6,Ixtlahuacán,28.67,18.45,216
63,6,7,Manzanillo,30.13,20.49,680
64,6,9,Tecomán,31.13,21.91,958
65,6,10,Villa de Álvarez,27.37,16.71,289
66,7,1,Acacoyagua,30.26,18.74,993
67,7,2,Acala,26.06,16.76,983
68,7,3,Acapetahua,32.56,23.03,959
69,7,4,Altamirano,26.27,16.16,334
70,7,5,Amatán,26.85,18.09,628
71,7,6,Amatenango de la Frontera,23.0,12.69,223
72,7,7,Amatenango del Valle,25.02,14.39,359
73,7,8,Angel Albino Corzo,24.82,14.9,218
74,7,9,Arriaga,34.64,24.16,358
75,7,10,Bejucal de Ocampo,22.92,12.07,97
76,7,11,Bella Vista,25.0,14.21,37
77,7,12,Berriozábal,24.71,17.82,924
78,7,13,Bochil,23.97,14.36,805
