,Cve_Ent,Cve_Mun,nmun,tmax,tmin,Value
0,1,1,Aguascalientes,28.285,9.57,350
1,1,2,Asientos,27.26,9.595,272
2,1,3,Calvillo,28.73,8.045,540
3,1,4,Cosío,27.215,9.495,854
4,1,5,Jesús María,28.205,11.085,153
5,1,6,Pabellón de Arteaga,27.825,9.435,139
6,1,7,Rincón de Romos,26.645000000000003,9.1,342
7,1,8,San José de Gracia,24.55,7.484999999999999,930
8,1,9,Tepezalá,27.905,9.67,135
9,1,10,El Llano,27.06,9.705,305
10,1,11,San Francisco de los Romo,27.965,9.53,802
11,2,1,Ensenada,24.49,14.46,239
12,2,2,Mexicali,30.125,18.675,59
13,2,3,Tecate,23.235,11.36,275
14,2,4,Tijuana,25.015,15.25,271
15,2,5,Playas de Rosarito,22.86,17.615000000000002,48
16,3,1,Comondú,30.11,17.08,29
17,3,2,Mulegé,26.4,15.175,584
18,3,8,Los Cabos,27.095,16.495,615
19,3,9,Loreto,29.075,13.7875,212
20,4,1,Calkiní,32.66,21.03,627
21,4,2,Campeche,33.395,20.275,448
22,4,3,Carmen,31.58,23.71,606
23,4,4,Champotón,33.795,20.505000000000003,773
24,4,5,Hecelchakán,33.495000000000005,20.56,887
25,4,6,Hopelchén,33.27,19.745,536
26,4,7,Palizada,32.61,23.39,811
27,4,8,Tenabo,33.42,20.525,238
28,4,9,Escárcega,34.695,22.07,79
29,4,10,Calakmul,32.230000000000004,19.98,937
30,4,11,Candelaria,34.64,24.58,559
31,5,2,Acuña,24.270000000000003,11.58,750
32,5,4,Arteaga,26.3775,15.2525,236
33,5,5,Candela,25.395,15.32,243
34,5,6,Castaños,24.245,12.595,378
35,5,7,Cuatro Ciénegas,25.625,10.76,815
36,5,8,Escobedo,26.08,14.405,767
37,5,9,Francisco I. Madero,25.9625,10.25,47
38,5,10,Frontera,24.53,14.825,785
39,5,11,General Cepeda,24.615,9.375,229
40,5,16,Lamadrid,24.55,11.635,701
41,5,18,Monclova,25.685,14.38,901
42,5,20,Múzquiz,22.06,10.96,94
43,5,21,Nadadores,24.51,12.69,904
44,5,22,Nava,27.405,13.45,191
45,5,24,Parras,26.125,10.415,955
46,5,25,Piedras Negras,27.43,13.125,962
47,5,27,Ramos Arizpe,24.445,11.195,950
48,5,28,Sabinas,25.765,14.025,809
49,5,29,Sacramento,23.17,13.920000000000002,770
50,5,30,Saltillo,23.77,9.045,733
51,5,31,San Buenaventura,22.635,10.54,81
52,5,32,San Juan de Sabinas,25.71,13.04,284
53,5,33,San Pedro,26.755000000000003,10.545000000000002,507
54,5,34,Sierra Mojada,24.015,11.085,88
55,5,35,Torreón,25.35,13.245,97
56,5,36,Viesca,26.915,9.845,278
57,5,37,Villa Unión,25.96,14.85,207
58,6,1,Armería,28.465,20.445,592
59,6,2,Colima,28.235,17.57,705
60,6,3,Comala,26.315,15.325,48
61,6,4,Coquimatlán,27.96,17.89,708
62,6,6,Ixtlahuacán,28.8,18.515,216
63,6,7,Manzanillo,30.195,20.635,680
64,6,9,Tecomán,31.385,21.99,958
65,6,10,Villa de Álvarez,27.245,16.54,289
66,7,1,Acacoyagua,30.25,18.89,993
67,7,2,Acala,26.33,16.47,983
68,7,3,Acapetahua,32.565,23.340000000000003,959
69,7,4,Altamirano,26.42,15.595,334
70,7,5,Amatán,26.93,17.755000000000003,628
71,7,6,Amatenango de la Frontera,22.93,12.36,223
72,7,7,Amatenango del Valle,24.95,14.364999999999998,359
73,7,8,Angel Albino Corzo,24.765,14.760000000000002,218
74,7,9,Arriaga,34.05,24.015,358
75,7,10,Bejucal de Ocampo,22.85,11.74,97
76,7,11,Bella Vista,24.86,13.94,37
77,7,12,Berriozábal,24.87,17.435,924
78,7,13,Bochil,24.11,14.225,805
79,7,14,El Bosque,23.9,13.25,363
80,7,15,Cacahoatán,27.495,16.155,730
81,7,16,Catazajá,31.13,23.55,221
82,7,17,Cintalapa,30.025,20.975,309
83,7,18,Coapilla,26.845,16.53,445
84,7,19,Comitán de Domínguez,27.045,16.75,61
85,7,20,La Concordia,26.47,16.65,559
86,7,21,Copainalá,24.14,16.72,847
87,7,22,Chalchihuitán,26.255000000000003,12.765,221
88,7,23,Chamula,21.085,11.305,689
89,7,24,Chanal,21.525,11.075,319
90,7,25,Chapultenango,24.57,16.905,701
91,7,26,Chenalhó,25.785,12.305,464
92,7,27,Chiapa de Corzo,26.745,16.59,534
93,7,28,Chiapilla,28.965,18.95,223
94,7,29,Chicoasén,24.71,15.57,391
95,7,30,Chicomuselo,26.62,16.455,319
96,7,31,Chilón,29.16,17.505,115
97,7,32,Escuintla,29.95,18.76,394
98,7,33,Francisco León,26.53,18.95,718
99,7,34,Frontera Comalapa,26.16,16.2,918
100,7,35,Frontera Hidalgo,32.45,21.700000000000003,790
101,7,36,La Grandeza,23.41,12.295,665
102,7,37,Huehuetán,31.845,21.915,690
103,7,38,Huixtán,23.805,12.195,326
104,7,39,Huitiupán,27.895,15.41,457
105,7,40,Huixtla,32.105,22.43,830
106,7,41,La Independencia,24.355,15.845,484
107,7,42,Ixhuatán,26.3,15.515,301
108,7,43,Ixtacomitán,27.555,19.015,901
109,7,44,Ixtapa,23.395,13.935,634
110,7,45,Ixtapangajoya,28.37,20.055,234
111,7,46,Jiquipilas,30.84,21.43,227
112,7,47,Jitotol,25.4,13.27,622
113,7,48,Juárez,25.628000000000004,15.328,663
114,7,49,Larráinzar,24.445,12.195,668
115,7,50,La Libertad,30.49,23.94,490
116,7,51,Mapastepec,29.505000000000003,19.71,118
117,7,52,Las Margaritas,25.73,16.18,163
118,7,53,Mazapa de Madero,23.275,11.61,665
119,7,54,Mazatán,30.085,17.9575,76
120,7,55,Metapa,32.235,20.795,838
121,7,56,Mitontic,23.88,11.0,879
122,7,57,Motozintla,26.305,14.74,549
123,7,58,Nicolás Ruíz,27.875,18.450000000000003,409
124,7,59,Ocosingo,30.11,19.17,543
125,7,60,Ocotepec,25.1475,13.315,689
126,7,61,Ocozocoautla de Espinosa,25.42,18.715,276
127,7,62,Ostuacán,28.86,21.73,515
128,7,63,Osumacinta,25.545,15.815,202
129,7,64,Oxchuc,24.975,13.21,911
130,7,65,Palenque,30.62,22.435,480
131,7,66,Pantelhó,27.905,14.335,961
132,7,67,Pantepec,24.5,16.865000000000002,40
133,7,68,Pichucalco,29.0,21.545,39
134,7,69,Pijijiapan,30.965,20.905,310
135,7,70,El Porvenir,24.165,12.565,548
136,7,71,Villa Comaltitlán,32.395,23.115,534
137,7,72,Pueblo Nuevo Solistahuacán,26.225,14.355,280
138,7,73,Rayón,24.68375,12.87125,381
139,7,74,Reforma,30.965,23.515,420
140,7,75,Las Rosas,27.11,17.384999999999998,720
141,7,76,Sabanilla,28.675,16.71,42
142,7,77,Salto de Agua,30.380000000000003,20.715,129
143,7,78,San Cristóbal de las Casas,25.03,14.135,397
144,7,79,San Fernando,26.16,18.7875,828
145,7,80,Siltepec,25.525,13.865,637
146,7,81,Simojovel,27.25,14.25,754
147,7,82,Sitalá,28.295,14.745,378
148,7,83,Socoltenango,28.21,18.885,448
149,7,84,Solosuchiapa,27.185,17.42,94
150,7,85,Soyaló,24.64,14.77,740
151,7,86,Suchiapa,27.09,17.384999999999998,218
152,7,87,Suchiate,31.775,22.83,829
153,7,88,Sunuapa,28.79,21.655,492
154,7,89,Tapachula,30.35,20.445,11
155,7,90,Tapalapa,26.33,16.205,455
156,7,91,Tapilula,25.7,15.0,633
157,7,92,Tecpatán,28.315,21.09,500
158,7,93,Tenejapa,24.095,11.56,665
159,7,94,Teopisca,25.36,15.185,474
160,7,96,Tila,29.305,18.22,39
161,7,97,Tonalá,30.3525,18.09,823
162,7,98,Totolapa,28.19,18.475,881
163,7,99,La Trinitaria,25.715,16.54,24
164,7,100,Tumbalá,29.49,18.255000000000003,210
165,7,101,Tuxtla Gutiérrez,26.145,16.689999999999998,691
166,7,102,Tuxtla Chico,31.12,19.755,299
167,7,103,Tuzantán,30.165,19.380000000000003,228
168,7,104,Tzimol,28.64,18.795,699
169,7,105,Unión Juárez,26.545,14.77,740
170,7,107,Villa Corzo,28.775,18.52,139
171,7,108,Villaflores,30.66,20.06,481
172,7,109,Yajalón,28.83,16.439999999999998,936
173,7,110,San Lucas,29.9125,19.14,703
174,7,111,Zinacantán,26.42,15.82,988
175,7,112,San Juan Cancuc,26.545,13.425,224
176,7,113,Aldama,24.75333333333333,14.17,245
177,7,114,Benemérito de las Américas,33.325,20.45,267
178,7,115,Maravilla Tenejapa,30.385,18.955,261
179,7,116,Marqués de Comillas,33.895,20.520000000000003,569
180,7,117,Montecristo de Guerrero,25.145,14.95,871
181,7,118,San Andrés Duraznal,26.395,14.08,758
182,7,119,Santiago el Pinar,24.755,12.065,82
183,7,120,Capitán Luis Ángel Vidal,25.525,13.865,115
184,7,121,Rincón Chamula San Pedro,25.975,14.325,112
185,7,122,El Parral,30.92,19.87,223
186,7,124,Mezcalapa,29.03,22.065,772
187,8,1,Ahumada,20.925,7.720000000000001,15
188,8,3,Allende,25.20833333333333,12.995,555
189,8,4,Aquiles Serdán,21.950000000000003,13.33,506
190,8,5,Ascensión,21.45,10.215,502
191,8,6,Bachíniva,17.14,4.529999999999999,289
192,8,7,Balleza,19.915,1.885,421
193,8,8,Batopilas de Manuel Gómez Morín,27.775,12.02,41
194,8,9,Bocoyna,17.314999999999998,3.0,485
195,8,10,Buenaventura,21.275,6.225,273
196,8,12,Carichí,20.835,5.345000000000001,590
197,8,13,Casas Grandes,19.17,2.97,772
198,8,14,Coronado,23.65,11.465,351
199,8,15,Coyame del Sotol,21.845,9.1,444
200,8,16,La Cruz,24.79,10.195,613
201,8,18,Cusihuiriachi,19.88,6.32,171
202,8,19,Chihuahua,21.41,7.18,695
203,8,20,Chínipas,28.385,11.510000000000002,643
204,8,21,Delicias,23.445,12.725,78
205,8,22,Dr. Belisario Domínguez,22.805,10.205,486
206,8,23,Galeana,22.555,7.699999999999999,778
207,8,24,Santa Isabel,22.435,9.015,839
208,8,26,Gran Morelos,22.23,8.684999999999999,65
209,8,27,Guachochi,19.01,4.055,265
210,8,29,Guadalupe y Calvo,23.25,4.785,755
211,8,30,Guazapares,28.065,12.385000000000002,236
212,8,32,Hidalgo del Parral,23.29,10.35,304
213,8,33,Huejotitán,23.575,8.705,756
214,8,34,Ignacio Zaragoza,19.67,2.605,474
215,8,35,Janos,20.865,7.390000000000001,474
216,8,38,Julimes,22.14,12.895,374
217,8,39,López,23.875,12.505,562
218,8,40,Madera,19.82,2.41,369
219,8,41,Maguarichi,22.59,8.415,682
220,8,42,Manuel Benavides,21.63,11.61,87
221,8,43,Matachí,21.21,2.405,323
222,8,45,Meoqui,25.035,11.595,49
223,8,47,Moris,23.665,6.22,693
224,8,48,Namiquipa,19.65,2.47,446
225,8,49,Nonoava,22.425,6.0,721
226,8,50,Nuevo Casas Grandes,20.745,6.73,572
227,8,52,Ojinaga,22.695,10.44,353
228,8,53,Praxedis G. Guerrero,21.985,10.175,505
229,8,54,Riva Palacio,19.685,4.09,644
230,8,55,Rosales,24.43,11.155,883
231,8,57,San Francisco de Borja,22.785,7.82,197
232,8,58,San Francisco de Conchos,23.69,12.97,473
233,8,59,San Francisco del Oro,22.12,7.81,853
234,8,60,Santa Bárbara,21.685,8.33,838
235,8,61,Satevó,23.325,10.935,968
236,8,62,Saucillo,23.32,12.805,820
237,8,63,Temósachic,20.59,2.875,434
238,8,64,El Tule,23.8,7.815,949
239,8,65,Urique,28.515,13.215,239
240,8,66,Uruachi,25.525,9.045,782
241,8,67,Valle de Zaragoza,23.76,11.555,452
242,9,2,Azcapotzalco,26.375,14.17,771
243,9,3,Coyoacán,24.63,12.28,237
244,9,4,Cuajimalpa de Morelos,21.03,8.379999999999999,651
245,9,5,Gustavo A. Madero,27.795,15.57,933
246,9,6,Iztacalco,25.945,14.89,200
247,9,7,Iztapalapa,25.35,14.065,856
248,9,8,La Magdalena Contreras,21.45,8.325,547
249,9,9,Milpa Alta,24.18,12.9,932
250,9,10,Álvaro Obregón,23.3575,10.9575,547
251,9,11,Tláhuac,25.22,13.42,208
252,9,12,Tlalpan,22.565,10.18,834
253,9,13,Xochimilco,24.92,12.705,202
254,9,14,Benito Juárez,27.73428571428571,16.344285714285714,854
255,9,15,Cuauhtémoc,24.555,11.12875,348
256,9,16,Miguel Hidalgo,24.07,12.26,704
257,10,1,Canatlán,22.23,5.96,440
258,10,2,Canelas,21.745,7.505000000000001,542
259,10,3,Coneto de Comonfort,23.87,8.274999999999999,372
260,10,4,Cuencamé,23.88,10.27,824
261,10,5,Durango,23.305,3.82,296
262,10,6,General Simón Bolívar,25.3,12.985,716
263,10,7,Gómez Palacio,25.96,12.475,81
264,10,9,Guanaceví,22.315,2.08,99
265,10,11,Indé,24.365,8.315000000000001,964
266,10,12,Lerdo,26.58,8.504999999999999,946
267,10,13,Mapimí,26.29,8.765,785
268,10,14,Mezquital,22.855,5.404999999999999,144
269,10,15,Nazas,27.17,8.695,757
270,10,16,Nombre de Dios,25.835,5.335,285
271,10,18,El Oro,24.41,7.234999999999999,314
272,10,19,Otáez,23.23,5.48,95
273,10,20,Pánuco de Coronado,25.355,5.5600000000000005,788
274,10,21,Peñón Blanco,26.485,6.845000000000001,621
275,10,22,Poanas,25.3,5.155,679
276,10,23,Pueblo Nuevo,27.25,9.93,473
277,10,24,Rodeo,28.015,7.17,124
278,10,25,San Bernardo,24.4,4.68,669
279,10,26,San Dimas,22.5,5.545,20
280,10,27,San Juan de Guadalupe,26.84,9.285,34
281,10,29,San Luis del Cordero,24.855,11.145,752
282,10,30,San Pedro del Gallo,25.605,7.595000000000001,51
283,10,31,Santa Clara,25.66,6.925,784
284,10,32,Santiago Papasquiaro,24.86,5.9350000000000005,764
285,10,33,Súchil,21.545,3.62,235
286,10,34,Tamazula,27.085,11.91,453
287,10,35,Tepehuanes,24.26,4.035,105
288,10,36,Tlahualilo,26.695,9.86,899
289,10,37,Topia,25.285,7.7,364
290,10,39,Nuevo Ideal,25.565,5.895,103
291,11,2,Acámbaro,24.73,10.69,725
292,11,3,San Miguel de Allende,25.735,11.455,188
293,11,4,Apaseo el Alto,27.225,11.775,791
294,11,5,Apaseo el Grande,27.725,12.215,73
295,11,6,Atarjea,23.125,10.02,508
296,11,7,Celaya,28.735,11.935,555
297,11,8,Manuel Doblado,29.295,12.9,274
298,11,9,Comonfort,27.71,11.81,575
299,11,10,Coroneo,23.635,9.56,802
300,11,11,Cortazar,29.515,12.14,802
301,11,12,Cuerámaro,30.61,13.31,230
302,11,13,Doctor Mora,21.275,9.7,677
303,11,14,Dolores Hidalgo Cuna de la Independencia Nacional,26.655,11.4,247
304,11,15,Guanajuato,27.65,12.21,765
305,11,16,Huanímaro,30.435,13.545,241
306,11,17,Irapuato,30.9,12.905,721
307,11,18,Jaral del Progreso,29.76,12.435,496
308,11,19,Jerécuaro,24.45,10.055,499
309,11,20,León,28.49,11.685,844
310,11,21,Moroleón,27.735,12.315,318
311,11,23,Pénjamo,29.85,13.935,96
312,11,25,Purísima del Rincón,29.38,11.715,145
313,11,26,Romita,31.0,12.69,147
314,11,27,Salamanca,30.125,12.42,823
315,11,28,Salvatierra,27.885,11.825,347
316,11,29,San Diego de la Unión,26.195,10.885,533
317,11,31,San Francisco del Rincón,30.435,11.805,782
318,11,32,San José Iturbide,22.020000000000003,10.155,167
319,11,33,San Luis de la Paz,23.625,10.92,559
320,11,35,Santa Cruz de Juventino Rosas,28.795,12.115,491
321,11,36,Santiago Maravatío,28.105,12.065,366
322,11,37,Silao de la Victoria,29.700000000000003,12.605,291
323,11,38,Tarandacuao,23.505,9.705,407
324,11,39,Tarimoro,27.57,11.31,830
325,11,41,Uriangato,27.875,12.2,777
326,11,42,Valle de Santiago,30.125,12.795,934
327,11,45,Xichú,23.56,10.96,120
328,11,46,Yuriria,28.27,12.595,754
329,12,1,Acapulco de Juárez,30.59,22.615,512
330,12,2,Ahuacuotzingo,28.315,15.92,93
331,12,3,Ajuchitlán del Progreso,26.65,18.325,537
332,12,4,Alcozauca de Guerrero,25.93,14.315,531
333,12,5,Alpoyeca,29.58,15.61,450
334,12,6,Apaxtla,28.215000000000003,17.950000000000003,624
335,12,7,Arcelia,27.97,18.76,843
336,12,8,Atenango del Río,30.82,17.91,915
337,12,9,Atlamajalcingo del Monte,24.51,14.105,146
338,12,10,Atlixtac,25.485,14.675,142
339,12,11,Atoyac de Álvarez,29.925,22.965,402
340,12,12,Ayutla de los Libres,29.395,19.36,98
341,12,13,Azoyú,31.375,21.06,785
342,12,15,Buenavista de Cuéllar,26.785,16.3,863
343,12,16,Coahuayutla de José María Izazaga,31.495,20.3,252
344,12,17,Cocula,28.5725,15.265,961
345,12,18,Copala,30.74,23.965,704
346,12,19,Copalillo,30.48,17.535,399
347,12,20,Copanatoyac,25.24,14.05,173
348,12,21,Coyuca de Benítez,30.195,23.04,227
349,12,22,Coyuca de Catalán,28.255000000000003,18.38,652
350,12,23,Cuajinicuilapa,31.96,22.85,911
351,12,24,Cualác,28.935,15.515,286
352,12,25,Cuautepec,30.45,22.17,245
353,12,26,Cuetzala del Progreso,28.165,17.509999999999998,146
354,12,27,Cutzamala de Pinzón,30.045,19.325,340
355,12,28,Chilapa de Álvarez,25.57,15.765,843
356,12,29,Chilpancingo de los Bravo,23.815,17.365000000000002,503
357,12,30,Florencio Villarreal,27.675,23.815,68
358,12,31,General Canuto A. Neri,25.07,16.98,875
359,12,32,General Heliodoro Castillo,25.12,16.82,525
360,12,33,Huamuxtitlán,30.495,16.240000000000002,507
361,12,34,Huitzuco de los Figueroa,29.63,17.55,409
362,12,35,Iguala de la Independencia,28.89,17.665,447
363,12,36,Igualapa,30.12,19.955,344
364,12,37,Ixcateopan de Cuauhtémoc,22.825000000000003,14.835,216
365,12,38,Zihuatanejo de Azueta,31.67,21.78,647
366,12,39,Juan R. Escudero,26.380000000000003,19.79,576
367,12,40,Leonardo Bravo,24.865,16.62,846
368,12,41,Malinaltepec,25.92,15.91,995
369,12,42,Mártir de Cuilapan,28.21,16.945,874
370,12,43,Metlatónoc,25.96,15.975,144
371,12,44,Mochitlán,27.645000000000003,18.71,822
372,12,45,Olinalá,29.975,16.560000000000002,155
373,12,46,Ometepec,31.72,20.715,756
374,12,47,Pedro Ascencio Alquisiras,21.475,14.3,788
375,12,48,Petatlán,30.795,21.11,508
376,12,49,Pilcaya,22.02,13.355,497
377,12,50,Pungarabato,31.735,20.98,910
378,12,51,Quechultenango,27.115,17.64,72
379,12,52,San Luis Acatlán,29.335,19.705,844
380,12,53,San Marcos,30.475,18.015,308
381,12,54,San Miguel Totolapan,25.68,17.64,449
382,12,55,Taxco de Alarcón,23.395,14.72,674
383,12,56,Tecoanapa,30.135,20.28,60
