nmun,idmun,ides,tmax,tmin
Abalá,1,31,34.19,19.19
Abasolo,1,19,25.5625,16.8375
Abejones,1,20,25.85,10.09
Acacoyagua,1,7,29.99,18.5
Acajete,1,21,21.315,10.995000000000001
Acala,2,7,26.68,16.66
Acambay de Ruíz Castañeda,1,15,21.21,8.8
Acanceh,2,31,34.42,19.73
Acapetahua,3,7,32.65,23.17
Acaponeta,1,18,29.37,15.76
Acapulco de Juárez,1,12,31.42,21.99
Acateno,2,21,25.32,17.32
Acatepec,76,12,27.39,16.9
Acatic,1,14,27.58,12.36
Acatlán,2,30,25.89333333333333,14.173333333333332
Acatlán de Juárez,2,14,28.32,11.87
Acatlán de Pérez Figueroa,2,20,31.1,21.92
Acatzingo,4,21,23.6,11.4
Acaxochitlán,2,13,23.57,11.27
Acayucan,3,30,30.57,21.79
Acolman,2,15,25.52,13.02
Aconchi,1,26,26.42,10.86
Acteopan,5,21,23.49,13.58
Actopan,4,30,25.395,15.01
Acuamanala de Miguel Hidalgo,22,29,22.74,11.77
Acuitzio,1,16,20.1,11.22
Acula,5,30,31.31,22.29
Aculco,3,15,22.27,9.68
Acultzingo,6,30,25.07,12.59
Acuña,2,5,24.77,13.76
Acámbaro,2,11,24.22,10.2
Agua Blanca de Iturbide,4,13,23.07,12.51
Agua Dulce,204,30,30.93,23.07
Agua Prieta,2,26,22.96,8.21
Agualeguas,2,19,20.66,18.78
Aguascalientes,1,1,27.44,8.42
Aguililla,2,16,30.08,19.11
Ahome,1,25,29.22,19.74
Ahuacatlán,6,21,25.75,13.195
Ahuacuotzingo,2,12,27.99,16.01
Ahualulco,1,24,27.34,10.09
Ahualulco de Mercado,3,14,29.46,11.88
Ahuatlán,7,21,28.82,18.63
Ahuazotepec,8,21,23.11,10.63
Ahuehuetitla,9,21,31.44,18.57
Ahumada,1,8,21.5,6.0
Ajacuba,5,13,24.34,9.61
Ajalpan,10,21,26.58,13.65
Ajuchitlán del Progreso,3,12,26.99,18.52
Akil,3,31,33.6,18.43
Alamos,3,26,29.73,14.59
Alaquines,2,24,27.79,18.91
Albino Zertuche,11,21,31.21,18.1
Alcozauca de Guerrero,4,12,26.32,15.28
Aldama,113,7,24.709999999999997,14.01
Alfajayucan,6,13,24.98,11.42
Aljojuca,12,21,22.57,10.25
Allende,3,8,23.27333333333333,13.906666666666666
Almoloya,7,13,22.31,8.39
Almoloya de Alquisiras,4,15,16.06,10.05
Almoloya de Juárez,5,15,17.49,7.44
Almoloya del Río,6,15,18.32,9.34
Alpatláhuac,8,30,22.98,11.92
Alpoyeca,5,12,29.1,16.62
Altamira,3,28,28.26,21.97
Altamirano,4,7,25.37,14.49
Altar,4,26,27.53,14.94
Altepexi,13,21,29.19,14.02
Alto Lucero de Gutiérrez Barrios,9,30,27.93,18.82
Altotonga,10,30,21.49,11.48
Alvarado,11,30,29.3,23.25
Amacueca,4,14,23.37,10.53
Amacuzac,1,17,25.73,15.72
Amanalco,7,15,13.52,5.79
Amatenango de la Frontera,6,7,23.39,13.37
Amatenango del Valle,7,7,25.33,13.89
Amatepec,8,15,23.95,15.91
Amatitlán,12,30,31.27,22.09
Amatitán,5,14,30.17,11.98
Amatlán de Cañas,3,18,29.22,13.83
Amatlán de los Reyes,14,30,28.72,18.95
Amatán,5,7,27.26,16.82
Amaxac de Guerrero,1,29,22.81,10.25
Amealco de Bonfil,1,22,22.83,9.65
Ameca,6,14,28.34,11.99
Amecameca,9,15,16.39,8.89
Amixtlán,14,21,22.61,13.03
Amozoc,15,21,21.33,12.04
Angamacutiro,4,16,27.96,14.04
Angangueo,5,16,16.01,5.95
Angel Albino Corzo,8,7,24.92,14.55
Angel R. Cabada,15,30,28.32,22.2
Angostura,2,25,28.04,19.38
Antiguo Morelos,4,28,30.2,20.71
Anáhuac,5,19,24.86,17.01
Apan,8,13,22.29,8.52
Apaseo el Alto,4,11,27.02,11.58
Apaseo el Grande,5,11,27.77,11.95
Apatzingán,6,16,33.96,21.95
Apaxco,10,15,24.91,9.89
Apaxtla,6,12,27.88,18.18
Apazapan,17,30,28.61,18.52
Apetatitlán de Antonio Carvajal,2,29,23.61,10.84
Apizaco,5,29,22.61,9.65
Apodaca,6,19,23.04,19.0
Aporo,7,16,17.66,7.04
Apozol,1,32,28.38,10.48
Apulco,2,32,27.64,9.86
Aquila,18,30,26.634999999999998,16.945
Aquiles Serdán,4,8,21.84,11.81
Aquismón,3,24,27.98,18.49
Aquixtla,16,21,21.72,8.8
