nmun,idmun,ides,tmax,tmin
Atlahuilco,20,30,25.2,14.31
Atlamajalcingo del Monte,9,12,24.509999999999998,14.105
Atlangatepec,3,29,24.75,9.27
Atlapexco,11,13,24.86,18.64
Atlatlahucan,2,17,21.825,11.995000000000001
Atlautla,15,15,18.005000000000003,10.33
Atlequizayan,80,21,20.14,11.58
Atlixco,19,21,20.479999999999997,11.525
Atlixtac,10,12,25.485,14.675
Atltzayanca,4,29,24.674999999999997,9.645
Atolinga,3,32,26.189999999999998,9.995000000000001
Atotonilco de Tula,13,13,26.675,11.345
Atotonilco el Alto,13,14,29.299999999999997,12.9
Atotonilco el Grande,12,13,19.925,9.075
Atoyac,21,30,28.5175,16.25
Atoyac de Álvarez,11,12,29.925,22.965
Atoyatempan,20,21,26.05,14.735
Atzacan,22,30,25.0,14.899999999999999
Atzala,21,21,29.655,17.475
Atzalan,23,30,21.61,13.68
Atzitzihuacán,22,21,22.67,12.825
Atzitzintla,23,21,19.79,11.535
Autlán de Navarro,15,14,25.09,13.04
Axapusco,16,15,25.174999999999997,10.969999999999999
Axochiapan,3,17,29.655,17.009999999999998
Axtla de Terrazas,53,24,25.375,16.035
Axutla,24,21,31.964999999999996,18.384999999999998
Ayahualulco,25,30,21.189999999999998,10.86
Ayala,4,17,29.4,16.994999999999997
Ayapango,17,15,18.3,9.66
Ayoquezco de Aldama,398,20,27.505000000000003,12.52
Ayotlán,16,14,29.855,13.23
Ayotoxco de Guerrero,25,21,20.96,14.01
Ayotzintepec,9,20,29.53,19.15
Ayutla,17,14,25.015,13.5
Ayutla de los Libres,12,12,29.395,19.36
Azcapotzalco,2,9,26.375,14.17
Azoyú,13,12,31.375,21.06
Baca,4,31,33.9,20.225
Bacadéhuachi,8,26,23.42,7.279999999999999
Bacalar,10,23,34.44,20.35
Bacanora,9,26,27.53,8.49
Bacerac,10,26,20.915,5.105
Bachíniva,6,8,17.14,4.529999999999999
Bacoachi,11,26,22.66,7.9350000000000005
Badiraguato,3,25,28.125,12.649999999999999
Bahía de Banderas,20,18,27.76,21.555
Balancán,1,27,31.685000000000002,25.21
Balleza,7,8,19.915,1.8849999999999998
Banderilla,26,30,21.805,12.829999999999998
Banámichi,13,26,25.045,9.27
Batopilas de Manuel Gómez Morín,8,8,27.775,12.02
Bavispe,15,26,22.545,6.925000000000001
Baviácora,14,26,25.71,10.219999999999999
Bejucal de Ocampo,10,7,22.85,11.74
Bella Vista,11,7,24.86,13.940000000000001
Benemérito de las Américas,114,7,33.325,20.45
Benito Juárez,14,9,27.73428571428571,16.344285714285714
Benjamín Hill,16,26,27.174999999999997,12.285
Berriozábal,12,7,24.87,17.435
Boca del Río,28,30,27.665,22.855
Bochil,13,7,24.11,14.225000000000001
Bocoyna,9,8,17.314999999999998,3.0
Bokobá,5,31,35.045,19.93
Bolaños,19,14,28.185000000000002,10.295
Briseñas,11,16,29.78,15.29
Buctzotz,6,31,35.05,19.32
Buenaventura,10,8,21.275,6.225
Buenavista,12,16,35.43,22.759999999999998
Buenavista de Cuéllar,15,12,26.785,16.3
Burgos,5,28,27.564999999999998,17.465000000000003
Bustamante,6,28,24.8225,13.21
Bácum,12,26,30.299999999999997,14.765
Cabo Corrientes,20,14,27.94,21.125
Caborca,17,26,28.415,14.09
Cacahoatán,15,7,27.495,16.155
Cacalchén,7,31,35.245000000000005,20.049999999999997
Cadereyta Jiménez,9,19,27.42,15.1
Cadereyta de Montes,4,22,27.165,12.18
Cajeme,18,26,30.46,13.66
Calakmul,10,4,32.230000000000004,19.98
Calcahualco,29,30,20.700000000000003,11.915
Calera,5,32,24.915,7.130000000000001
Calihualá,11,20,28.604999999999997,14.515
Calimaya,18,15,18.375,8.8
Calkiní,1,4,32.66,21.03
Calnali,14,13,22.07,15.754999999999999
Calotmul,8,31,35.120000000000005,18.575
Calpan,26,21,16.134999999999998,7.225
Calpulalpan,6,29,22.87,8.62
Caltepec,27,21,27.195,12.995000000000001
Calvillo,3,1,28.729999999999997,8.045
Camargo,7,28,25.9975,13.4
Camarón de Tejeda,7,30,31.215,20.93
Camerino Z. Mendoza,30,30,23.494999999999997,13.5
Camocuautla,28,21,20.314999999999998,12.19
Campeche,2,4,33.394999999999996,20.275
Cananea,19,26,21.58,7.68
Canatlán,1,10,22.23,5.96
Candela,5,5,25.395,15.32
Candelaria,11,4,34.64,24.58
Candelaria Loxicha,12,20,30.34,18.560000000000002
Canelas,2,10,21.745,7.505000000000001
Cansahcab,9,31,33.72,19.805
Cantamayec,10,31,34.655,19.82
Capitán Luis Ángel Vidal,120,7,25.525,13.865
Capulhuac,19,15,19.78,9.445
Capulálpam de Méndez,247,20,24.375,10.195
Carbó,20,26,27.424999999999997,12.809999999999999
Cardonal,15,13,24.365,11.115
Carichí,12,8,20.835,5.345000000000001
Carlos A. Carrillo,208,30,29.04,21.98
Carmen,3,4,31.58,23.71
Carrillo Puerto,31,30,31.275,21.83
Carácuaro,13,16,31.305,18.985
