nmun,idmun,ides,tmax,tmin
Abalá,1,31,34.19,20.06
Abasolo,1,19,27.6325,15.1975
Abejones,1,20,25.36,11.65
Acacoyagua,1,7,30.26,18.74
Acajete,1,21,21.115000000000002,11.16
Acala,2,7,26.06,16.76
Acambay de Ruíz Castañeda,1,15,22.83,9.11
Acanceh,2,31,34.73,19.92
Acapetahua,3,7,32.56,23.03
Acaponeta,1,18,30.32,16.0
Acapulco de Juárez,1,12,31.01,22.44
Acateno,2,21,22.13,16.23
Acatepec,76,12,26.11,16.78
Acatic,1,14,27.88,12.81
Acatlán,2,30,25.883333333333336,13.866666666666667
Acatlán de Juárez,2,14,28.89,12.5
Acatlán de Pérez Figueroa,2,20,30.45,21.52
Acatzingo,4,21,24.24,11.71
Acaxochitlán,2,13,23.13,10.77
Acayucan,3,30,28.39,21.12
Acolman,2,15,27.01,13.61
Aconchi,1,26,25.13,9.86
Acteopan,5,21,24.15,13.37
Actopan,4,30,25.495,14.864999999999998
Acuamanala de Miguel Hidalgo,22,29,25.03,12.12
Acuitzio,1,16,19.95,11.54
Acula,5,30,29.32,22.15
Aculco,3,15,23.84,10.24
Acultzingo,6,30,23.51,12.98
Acuña,2,5,24.27,11.57
Acámbaro,2,11,25.05,10.45
Agua Blanca de Iturbide,4,13,22.13,11.29
Agua Dulce,204,30,29.86,22.12
Agua Prieta,2,26,21.99,8.33
Agualeguas,2,19,26.84,16.63
Aguascalientes,1,1,28.69,9.2
Aguililla,2,16,29.99,18.57
Ahome,1,25,29.82,19.83
Ahuacatlán,6,21,25.105,13.04
Ahuacuotzingo,2,12,28.3,15.68
Ahualulco,1,24,27.43,8.63
Ahualulco de Mercado,3,14,30.52,13.1
Ahuatlán,7,21,30.04,17.58
Ahuazotepec,8,21,22.59,10.5
Ahuehuetitla,9,21,31.98,18.07
Ahumada,1,8,21.03,7.92
Ajacuba,5,13,25.67,10.61
Ajalpan,10,21,26.27,13.8
Ajuchitlán del Progreso,3,12,27.45,18.24
Akil,3,31,34.19,19.82
Alamos,3,26,30.33,14.73
Alaquines,2,24,26.15,16.47
Albino Zertuche,11,21,31.91,17.08
Alcozauca de Guerrero,4,12,25.87,14.49
Aldama,113,7,24.459999999999997,14.016666666666666
Alfajayucan,6,13,27.02,12.23
Aljojuca,12,21,22.5,10.33
Allende,3,8,25.25333333333333,12.969999999999999
Almoloya,7,13,24.85,8.64
Almoloya de Alquisiras,4,15,17.25,10.21
Almoloya de Juárez,5,15,19.45,7.6
Almoloya del Río,6,15,19.23,9.19
Alpatláhuac,8,30,21.55,12.35
Alpoyeca,5,12,29.91,15.62
Altamira,3,28,27.58,20.56
Altamirano,4,7,26.27,16.16
Altar,4,26,26.98,13.1
Altepexi,13,21,28.89,14.25
Alto Lucero de Gutiérrez Barrios,9,30,27.06,18.55
Altotonga,10,30,20.15,11.52
Alvarado,11,30,27.83,23.36
Amacueca,4,14,24.37,10.77
Amacuzac,1,17,26.29,15.38
Amanalco,7,15,15.47,6.06
Amatenango de la Frontera,6,7,23.0,12.69
Amatenango del Valle,7,7,25.02,14.39
Amatepec,8,15,23.73,15.78
Amatitlán,12,30,28.93,21.72
Amatitán,5,14,30.67,12.84
Amatlán de Cañas,3,18,29.91,14.54
Amatlán de los Reyes,14,30,28.07,19.08
Amatán,5,7,26.85,18.09
Amaxac de Guerrero,1,29,25.48,10.61
Amealco de Bonfil,1,22,23.93,10.25
Ameca,6,14,29.46,12.92
Amecameca,9,15,17.75,9.01
Amixtlán,14,21,20.13,12.03
Amozoc,15,21,22.41,12.28
Angamacutiro,4,16,28.48,13.98
Angangueo,5,16,17.82,6.25
Angel Albino Corzo,8,7,24.82,14.9
Angel R. Cabada,15,30,26.45,22.13
Angostura,2,25,28.86,19.96
Antiguo Morelos,4,28,28.05,19.36
Anáhuac,5,19,27.57,15.66
Apan,8,13,24.71,8.67
Apaseo el Alto,4,11,26.89,11.77
Apaseo el Grande,5,11,27.22,12.33
Apatzingán,6,16,33.97,23.15
Apaxco,10,15,26.13,10.96
Apaxtla,6,12,28.34,18.36
Apazapan,17,30,27.73,18.34
Apetatitlán de Antonio Carvajal,2,29,26.19,11.26
Apizaco,5,29,25.25,9.92
Apodaca,6,19,27.47,15.01
Aporo,7,16,18.78,7.43
Apozol,1,32,29.44,11.4
Apulco,2,32,28.77,10.42
Aquila,18,30,25.58,17.04
Aquiles Serdán,4,8,21.71,12.86
Aquismón,3,24,25.36,15.7
Aquixtla,16,21,22.53,8.93
Aramberri,7,19,24.06,10.24
Arandas,8,14,27.33,12.16
Arcelia,7,12,28.04,19.01
Ario,9,16,24.06,16.59
Arivechi,5,26,25.1,6.63
Arizpe,6,26,23.38,8.72
Armadillo de los Infante,4,24,28.35,10.24
Armería,1,6,28.37,20.43
Arriaga,9,7,34.64,24.16
Arroyo Seco,3,22,24.19,13.03
Arteaga,4,5,25.9,14.879999999999999
Ascensión,5,8,21.88,10.32
Asientos,2,1,27.15,9.22
Astacinga,19,30,24.42,13.43
Asunción Cacalotepec,3,20,26.63,14.02
Asunción Cuyotepeji,4,20,28.19,13.05
Asunción Ixtaltepec,5,20,32.85,22.36
Asunción Nochixtlán,6,20,25.9,12.89
Asunción Ocotlán,7,20,29.68,15.84
Asunción Tlacolulita,8,20,31.35,18.78
Atarjea,6,11,22.95,9.71
Atemajac de Brizuela,10,14,25.04,11.41
Atempan,17,21,18.39,8.88
Atenango del Río,8,12,30.7,17.71
Atenco,11,15,24.91,14.03
Atengo,11,14,27.15,13.22
Atenguillo,12,14,25.98,12.88
Atexcal,18,21,28.4,14.0
Atil,7,26,27.04,13.23
Atitalaquia,10,13,26.81,10.96
Atizapán,12,15,19.48,8.87
Atizapán de Zaragoza,13,15,25.05,10.87
Atlacomulco,14,15,22.75,8.46
Atlahuilco,20,30,24.7,14.54
Atlamajalcingo del Monte,9,12,24.49,14.65
Atlangatepec,3,29,24.95,9.38
Atlapexco,11,13,24.75,18.4
Atlatlahucan,2,17,21.43,11.44
Atlautla,15,15,17.79,9.93
Atlequizayan,80,21,19.66,12.06
Atlixco,19,21,20.91,11.29
Atlixtac,10,12,25.52,14.61
Atltzayanca,4,29,25.25,9.42
Atolinga,3,32,26.35,9.48
Atotonilco de Tula,13,13,26.77,11.11
Atotonilco el Alto,13,14,28.94,12.97
Atotonilco el Grande,12,13,19.97,9.07
Atoyac,21,30,28.16,16.2
Atoyac de Álvarez,11,12,30.98,23.93
Atoyatempan,20,21,26.04,14.42
Atzacan,22,30,23.91,14.82
Atzala,21,21,29.85,16.77
Atzalan,23,30,21.5,13.79
Atzitzihuacán,22,21,22.92,12.57
Atzitzintla,23,21,20.57,11.28
Autlán de Navarro,15,14,25.09,12.99
Axapusco,16,15,25.64,11.3
Axochiapan,3,17,29.87,16.17
Axtla de Terrazas,53,24,24.54,16.13
Axutla,24,21,32.19,18.09
Ayahualulco,25,30,21.14,10.56
Ayala,4,17,29.34,16.13
Ayapango,17,15,18.05,9.18
Ayoquezco de Aldama,398,20,27.44,12.83
Ayotlán,16,14,29.6,13.33
Ayotoxco de Guerrero,25,21,20.55,14.45
Ayotzintepec,9,20,29.19,19.04
Ayutla,17,14,25.02,13.26
Ayutla de los Libres,12,12,28.83,19.38
Azcapotzalco,2,9,27.22,12.81
Azoyú,13,12,30.81,21.33
Baca,4,31,34.08,19.89
Bacadéhuachi,8,26,23.05,7.37
Bacalar,10,23,33.7,20.66
Bacanora,9,26,26.94,8.19
Bacerac,10,26,20.72,5.22
Bachíniva,6,8,16.89,3.69
Bacoachi,11,26,22.06,8.22
Badiraguato,3,25,28.11,12.7
Bahía de Banderas,20,18,27.99,21.49
Balancán,1,27,31.38,24.98
Balleza,7,8,19.39,1.93
Banderilla,26,30,21.73,12.88
Banámichi,13,26,24.52,9.26
Batopilas de Manuel Gómez Morín,8,8,27.56,12.06
Bavispe,15,26,22.18,7.21
Baviácora,14,26,25.29,10.1
Bejucal de Ocampo,10,7,22.92,12.07
Bella Vista,11,7,25.0,14.21
Benemérito de las Américas,114,7,34.13,20.43
Benito Juárez,14,9,27.92142857142857,16.264285714285712
Benjamín Hill,16,26,26.69,12.47
