nmun,idmun,ides,tmax,tmin
Berriozábal,12,7,24.71,17.82
Boca del Río,28,30,27.81,23.23
Bochil,13,7,23.97,14.36
Bocoyna,9,8,16.53,2.66
Bokobá,5,31,35.01,19.59
Bolaños,19,14,28.17,9.75
Briseñas,11,16,29.73,15.35
Buctzotz,6,31,34.39,19.22
Buenaventura,10,8,21.35,6.15
Buenavista,12,16,34.5,22.89
Buenavista de Cuéllar,15,12,26.63,16.1
Burgos,5,28,27.6,17.09
Bustamante,6,28,24.775,12.715
Bácum,12,26,29.95,14.58
Cabo Corrientes,20,14,28.09,21.01
Caborca,17,26,28.84,14.59
Cacahoatán,15,7,27.1,16.23
Cacalchén,7,31,35.3,19.71
Cadereyta Jiménez,9,19,27.84,14.17
Cadereyta de Montes,4,22,26.72,12.93
Cajeme,18,26,30.07,13.41
Calakmul,10,4,30.74,19.55
Calcahualco,29,30,20.69,11.44
Calera,5,32,24.35,6.67
Calihualá,11,20,28.72,14.7
Calimaya,18,15,18.17,8.4
Calkiní,1,4,33.12,21.08
Calnali,14,13,21.94,15.44
Calotmul,8,31,35.31,18.63
Calpan,26,21,16.54,7.06
Calpulalpan,6,29,23.05,8.82
Caltepec,27,21,27.84,13.07
Calvillo,3,1,28.99,7.73
Camargo,7,28,25.805,13.315000000000001
Camarón de Tejeda,7,30,30.66,21.11
Camerino Z. Mendoza,30,30,23.17,13.84
Camocuautla,28,21,20.04,12.32
Campeche,2,4,34.04,20.24
Cananea,19,26,21.29,7.99
Canatlán,1,10,21.98,5.56
Candela,5,5,25.07,14.98
Candelaria,11,4,33.92,24.01
Candelaria Loxicha,12,20,30.65,18.36
Canelas,2,10,21.46,6.9
Cansahcab,9,31,33.74,19.5
Cantamayec,10,31,34.91,19.74
Capitán Luis Ángel Vidal,120,7,25.7,13.99
Capulhuac,19,15,19.61,8.71
Capulálpam de Méndez,247,20,24.65,10.73
Carbó,20,26,26.77,12.68
Cardonal,15,13,24.25,11.33
Carichí,12,8,20.0,4.82
Carlos A. Carrillo,208,30,29.48,21.58
Carmen,3,4,31.14,23.76
Carrillo Puerto,31,30,30.66,21.7
Carácuaro,13,16,30.8,18.76
Casas,8,28,28.37,15.48
Casas Grandes,13,8,19.06,3.24
Casimiro Castillo,21,14,27.13,15.75
Castaños,6,5,23.6,12.41
Castillo de Teayo,157,30,23.6,18.73
Catazajá,16,7,30.8,23.61
Catemaco,32,30,26.44,20.64
Catorce,6,24,26.21,9.59
Caxhuacan,29,21,19.98,13.01
Cazones de Herrera,33,30,24.15,19.18
Cañada Morelos,99,21,23.6,12.71
Cañadas de Obregón,117,14,28.55,12.05
Cañitas de Felipe Pescador,6,32,25.85,7.38
Cedral,7,24,26.54,10.49
Celaya,7,11,28.23,11.99
Celestún,11,31,32.54,21.67
Cenotillo,12,31,34.94,19.09
Centla,3,27,31.92,22.73
Centro,4,27,30.85,23.05
Cerralvo,11,19,26.37,16.15
Cerritos,8,24,28.18,13.76
Cerro Azul,34,30,26.18,19.4
Cerro de San Pedro,9,24,28.83,9.13
Chacaltianguis,54,30,29.69,21.54
Chacsinkín,16,31,34.9,19.83
Chahuites,25,20,35.48,25.39
Chalcatongo de Hidalgo,26,20,25.51,13.11
Chalchicomula de Sesma,45,21,21.15,10.56
Chalchihuites,9,32,21.58,3.88
Chalchihuitán,22,7,26.17,12.8
Chalco,25,15,18.92,7.76
Chalma,55,30,26.61,19.43
Champotón,4,4,34.07,20.69
Chamula,23,7,20.88,11.57
Chanal,24,7,21.72,11.48
Chankom,17,31,35.62,19.45
Chapa de Mota,26,15,22.8,8.23
Chapab,18,31,34.23,19.96
Chapala,30,14,26.84,16.38
Chapantongo,17,13,25.58,11.56
Chapulco,46,21,24.68,12.66
Chapulhuacán,18,13,22.38,14.11
Chapultenango,25,7,24.56,17.29
Chapultepec,27,15,18.22,5.98
Charapan,21,16,25.05,11.85
Charcas,15,24,25.81,9.0
Charo,22,16,21.69,11.5
Chavinda,23,16,30.48,14.49
Chemax,19,31,35.59,18.52
Chenalhó,26,7,25.76,12.43
Cherán,24,16,23.58,11.05
Chiapa de Corzo,27,7,26.58,16.82
Chiapilla,28,7,29.05,19.31
Chiautempan,10,29,24.87,10.71
Chiautla,47,21,29.245,15.84
Chiautzingo,48,21,16.96,6.27
Chichimilá,21,31,35.71,19.0
Chichiquila,50,21,22.41,13.36
Chicoasén,29,7,24.67,15.8
Chicoloapan,29,15,23.14,11.44
Chicomuselo,30,7,26.79,16.65
Chiconamel,56,30,26.36,19.15
Chiconcuac,30,15,26.39,14.24
Chiconcuautla,49,21,21.23,11.18
Chiconquiaco,57,30,23.51,15.17
Chicontepec,58,30,25.75,19.29
Chicxulub Pueblo,20,31,33.45,20.29
Chietla,51,21,30.11,16.66
Chigmecatitlán,52,21,28.03,15.96
Chignahuapan,53,21,23.68,8.92
Chignautla,54,21,18.88,8.98
Chihuahua,19,8,21.06,6.78
Chikindzonot,22,31,35.59,19.53
Chila,55,21,30.16,15.32
Chila de la Sal,56,21,32.3,17.73
Chilapa de Álvarez,28,12,25.47,15.36
Chilchota,25,16,25.41,11.66
Chilchotla,58,21,20.75,10.37
Chilcuautla,19,13,26.97,11.64
Chilpancingo de los Bravo,29,12,23.52,17.34
Chilón,31,7,28.9,17.92
Chimalhuacán,31,15,25.86,13.61
Chimaltitán,31,14,28.51,10.83
China,13,19,27.83,18.77
Chinameca,59,30,28.97,21.52
Chinampa de Gorostiza,60,30,26.18,19.85
Chinantla,59,21,32.05,18.44
Chinicuila,26,16,29.29,17.55
Chiquihuitlán de Benito Juárez,27,20,26.0,14.6
Chiquilistlán,32,14,24.56,12.21
Chocamán,62,30,24.69,15.19
Chocholá,23,31,34.1,20.29
Choix,7,25,31.89,16.72
Chontla,63,30,26.93,19.55
Chucándiro,27,16,24.8,11.41
Chumatlán,64,30,21.17,16.24
Chumayel,24,31,34.35,19.86
Churintzio,28,16,29.62,13.91
Churumuco,29,16,31.76,19.89
Chínipas,20,8,28.13,11.36
Cihuatlán,22,14,30.73,20.91
Cintalapa,17,7,30.56,21.54
Citlaltépetl,35,30,26.7,19.55
Ciudad Fernández,11,24,28.92,14.16
Ciudad Ixtepec,14,20,33.07,21.89
Ciudad Madero,9,28,25.89,21.0
Ciudad Valles,13,24,27.21,18.39
Ciudad del Maíz,10,24,26.88,16.41
Ciénega de Flores,12,19,26.61,14.83
Ciénega de Zimatlán,13,20,27.82,12.9
Coacalco de Berriozábal,20,15,27.58,13.18
Coacoatzintla,36,30,21.75,12.85
Coahuayana,14,16,30.87,20.07
Coahuayutla de José María Izazaga,16,12,31.08,19.93
Coahuitlán,37,30,21.66,17.12
Coalcomán de Vázquez Pallares,15,16,27.72,16.17
Coapilla,18,7,26.96,16.86
Coatecas Altas,15,20,28.3,13.39
Coatepec,30,21,21.185,12.855
Coatepec Harinas,21,15,19.11,10.55
Coatlán del Río,5,17,24.34,14.15
Coatzacoalcos,39,30,28.85,22.2
Coatzingo,31,21,29.41,16.98
Coatzintla,40,30,22.21,18.12
Cochoapa el Grande,78,12,26.32,16.8
Cocotitlán,22,15,19.28,8.39
Cocula,17,12,28.62,15.350000000000001
Coeneo,16,16,23.94,11.28
Coetzala,41,30,27.81,18.75
Cohetzala,32,21,31.27,17.25
Cohuecan,33,21,23.38,12.95
Coicoyán de las Flores,16,20,25.75,15.08
Cojumatlán de Régules,74,16,27.43,15.38
Colima,2,6,28.32,17.67
Colipa,42,30,24.6,17.79
Colotlán,25,14,26.24,6.53
Colón,5,22,25.82,11.77
Comala,3,6,26.4,15.35
Comalcalco,5,27,29.9,23.01
Comapa,43,30,29.18,19.6
Comitán de Domínguez,19,7,27.06,16.91
Comondú,1,3,29.92,17.14
Comonfort,9,11,26.89,12.1
Compostela,4,18,28.3,18.81
Concepción Buenavista,18,20,27.27,12.6
Concepción Pápalo,19,20,27.28,14.09
Concepción de Buenos Aires,26,14,27.68,14.47
Concepción del Oro,7,32,25.47,9.26
Concordia,4,25,28.63,14.95
Coneto de Comonfort,3,10,23.75,7.99
Conkal,13,31,34.07,20.15
Constancia del Rosario,20,20,27.02,15.68
Contepec,17,16,21.36,8.09
Contla de Juan Cuamatzi,18,29,25.48,10.61
Copainalá,21,7,24.04,16.99
Copala,18,12,30.92,23.81
Copalillo,19,12,30.44,17.35
Copanatoyac,20,12,25.31,14.28
Copándaro,18,16,25.14,11.4
Coquimatlán,4,6,27.98,17.98
Coronado,14,8,23.59,11.3
Coronango,34,21,23.15,11.38
Coroneo,10,11,23.58,9.6
Corregidora,6,22,26.54,12.17
Cortazar,11,11,29.15,12.2
Cosalá,5,25,30.33,15.27
Cosamaloapan de Carpio,45,30,29.91,21.7
Cosautlán de Carvajal,46,30,22.9,14.0
Coscomatepec,47,30,22.85,13.81
Cosolapa,21,20,31.08,21.01
Cosoleacaque,48,30,29.27,21.52
Cosoltepec,22,20,29.97,15.05
Cosío,4,1,26.82,9.22
Cotaxtla,49,30,30.39,21.96
Cotija,19,16,28.3,15.56
Coxcatlán,35,21,26.23,15.209999999999999
Coxquihui,50,30,21.8,17.71
Coyame del Sotol,15,8,21.66,8.74
Coyoacán,3,9,25.28,11.24
Coyomeapan,36,21,27.03,14.78
Coyotepec,37,21,27.6,13.219999999999999
Coyuca de Benítez,21,12,31.2,23.86
Coyuca de Catalán,22,12,28.79,18.29
Coyutla,51,30,21.66,17.59
Cozumel,1,23,30.05,22.81
Cruillas,10,28,27.31,17.84
Cuajimalpa de Morelos,4,9,21.41,7.42
Cuajinicuilapa,23,12,31.67,22.88
Cualác,24,12,29.05,15.4
Cuapiaxtla,8,29,24.9,10.01
Cuapiaxtla de Madero,38,21,24.59,13.2
Cuatro Ciénegas,7,5,25.16,10.86
Cuauhtémoc,15,9,24.66,10.485
Cuautempan,39,21,20.37,10.42
Cuautepec,25,12,30.46,22.08
Cuautepec de Hinojosa,16,13,24.39,9.75
Cuautinchán,40,21,23.36,13.31
Cuautitlán,24,15,26.33,12.13
Cuautitlán Izcalli,121,15,25.96,11.88
Cuautitlán de García Barragán,27,14,26.56,14.92
Cuautla,28,14,26.240000000000002,14.055
Cuautlancingo,41,21,24.21,12.48
Cuaxomulco,9,29,24.67,9.97
Cuayuca de Andrade,42,21,30.67,17.6
Cucurpe,22,26,23.89,10.31
Cuencamé,4,10,23.71,10.0
Cuernavaca,7,17,22.31,12.0
Cuerámaro,12,11,30.18,13.46
Cuetzala del Progreso,26,12,28.12,17.78
Cuetzalan del Progreso,43,21,20.0,13.13
Cuichapa,52,30,29.5,20.8
Cuilápam de Guerrero,23,20,27.44,12.45
Cuitláhuac,53,30,30.36,21.43
Cuitzeo,20,16,26.07,11.44
Culiacán,6,25,30.44,17.38
Cumpas,23,26,23.9,8.35
Cuncunul,14,31,35.9,19.44
Cunduacán,6,27,30.61,23.08
Cuquío,29,14,27.78,13.3
Cusihuiriachi,18,8,19.3,5.54
Cutzamala de Pinzón,27,12,29.85,19.25
Cuyamecalco Villa de Zaragoza,24,20,27.33,14.61
Cuyoaco,44,21,22.53,9.39
Cuzamá,15,31,34.8,19.85
Cárdenas,5,24,29.335,19.705
Córdoba,44,30,26.61,17.34
Degollado,33,14,29.73,13.72
Del Nayar,9,18,27.76,11.64
Delicias,21,8,23.18,11.88
Divisaderos,24,26,25.05,9.05
Doctor Arroyo,14,19,25.83,10.37
Doctor Coss,15,19,28.07,19.6
Doctor González,16,19,26.67,15.28
Doctor Mora,13,11,21.18,10.43
Dolores Hidalgo Cuna de la Independencia Nacional,14,11,26.21,12.13
Domingo Arenas,60,21,17.64,7.5
Donato Guerra,32,15,17.37,7.89
Dr. Belisario Domínguez,22,8,21.78,9.22
Durango,5,10,23.27,3.69
Dzemul,26,31,33.15,20.07
Dzidzantún,27,31,32.68,20.21
Dzilam González,29,31,32.98,19.96
Dzilam de Bravo,28,31,31.44,20.7
Dzitás,30,31,35.32,19.16
Dzoncauich,31,31,34.56,19.2
Dzán,25,31,34.15,19.92
Ebano,16,24,28.37,20.03
Ecatepec de Morelos,33,15,28.55,14.66
Ecatzingo,34,15,17.01,8.39
Ecuandureo,30,16,30.95,14.09
Eduardo Neri,75,12,26.86,17.16
Ejutla,34,14,25.59,13.58
El Arenal,9,13,26.785,11.33
El Barrio de la Soledad,10,20,31.32,21.14
El Bosque,14,7,23.8,13.33
El Carmen,10,19,26.31,14.23
El Carmen Tequexquitla,7,29,24.5,10.36
El Espinal,30,20,33.73,23.32
El Fuerte,10,25,32.99,19.04
El Grullo,37,14,25.18,12.85
El Higo,205,30,27.51,19.37
El Limón,54,14,25.52,13.55
El Llano,10,1,27.23,9.39
El Mante,21,28,28.58,20.11
El Marqués,11,22,24.43,11.3
El Naranjo,58,24,25.9,17.41
El Oro,18,10,24.775,6.915
El Parral,122,7,31.39,20.46
El Plateado de Joaquín Amaro,15,32,26.77,6.9
El Porvenir,70,7,24.17,12.86
El Salto,70,14,28.68,13.76
El Salvador,41,32,25.74,9.03
El Tule,64,8,23.27,7.56
Elota,8,25,29.02,17.88
Eloxochitlán,61,21,24.57,13.815
Eloxochitlán de Flores Magón,29,20,27.41,15.75
Emiliano Zapata,7,27,27.468333333333334,16.286666666666665
Empalme,25,26,29.81,14.95
Encarnación de Díaz,35,14,29.15,10.41
Ensenada,1,2,24.21,14.22
Epatlán,62,21,29.13,16.88
Epazoyucan,22,13,25.03,9.51
Epitacio Huerta,31,16,22.87,9.21
Erongarícuaro,32,16,21.89,11.22
Escobedo,8,5,25.59,14.54
Escuinapa,9,25,30.57,17.95
Escuintla,32,7,29.82,18.63
Escárcega,9,4,34.51,21.81
Españita,12,29,22.94,8.68
Esperanza,63,21,21.81,12.08
Espinal,66,30,21.79,17.5
Espita,32,31,35.33,19.0
Etchojoa,26,26,30.48,17.08
Etzatlán,36,14,30.09,13.36
Ezequiel Montes,7,22,27.4,12.95
Felipe Carrillo Puerto,2,23,33.58,19.79
Filomeno Mata,67,30,21.07,15.88
Florencio Villarreal,30,12,28.18,23.61
Fortín,68,30,25.86,16.6
Francisco I. Madero,9,5,25.845,10.285
Francisco León,33,7,26.69,19.29
Francisco Z. Mena,64,21,23.25,18.71
Fresnillo,10,32,24.19,6.5
Fresnillo de Trujano,32,20,31.07,16.78
Frontera,10,5,24.03,15.02
Frontera Comalapa,34,7,26.07,16.45
Frontera Hidalgo,35,7,32.43,21.83
Fronteras,27,26,22.38,8.42
Gabriel Zamora,33,16,30.14,19.69
Galeana,23,8,22.585,7.654999999999999
García,18,19,24.45,12.05
Genaro Codina,12,32,21.4,6.29
General Bravo,20,19,27.88,19.17
General Canuto A. Neri,31,12,25.16,17.07
General Cepeda,11,5,23.95,9.06
General Enrique Estrada,13,32,24.29,6.57
General Escobedo,21,19,26.57,14.27
General Felipe Ángeles,65,21,22.9,11.2
General Francisco R. Murguía,14,32,25.61,7.91
General Heliodoro Castillo,32,12,25.56,17.44
General Plutarco Elías Calles,70,26,29.09,14.52
General Pánfilo Natera,16,32,26.17,9.44
General Simón Bolívar,6,10,25.83,12.71
General Terán,22,19,27.66,16.39
General Treviño,23,19,27.66,18.6
General Zaragoza,24,19,22.58,9.9
General Zuazua,25,19,26.58,14.71
González,12,28,28.4,20.38
Gran Morelos,26,8,21.59,7.94
Granados,28,26,24.58,8.86
Guachinango,38,14,28.96,13.84
Guachochi,27,8,18.48,3.82
Guadalajara,39,14,28.44,12.92
Guadalcázar,17,24,27.47,13.48
Guadalupe,66,21,26.3275,12.4375
Guadalupe Etla,33,20,27.04,11.74
Guadalupe Victoria,67,21,23.265,7.375
Guadalupe de Ramírez,34,20,30.32,15.73
Guadalupe y Calvo,29,8,23.03,4.77
Guanaceví,9,10,22.33,1.77
Guanajuato,15,11,27.13,12.65
Guasave,11,25,31.26,19.37
Guaymas,29,26,29.17,14.56
Guazapares,30,8,27.77,12.29
Guelatao de Juárez,35,20,24.6,10.5
Guerrero,14,28,25.30666666666667,11.576666666666666
Guevea de Humboldt,36,20,30.66,18.64
Gustavo A. Madero,5,9,28.68,14.3
Gustavo Díaz Ordaz,15,28,28.33,17.31
Gutiérrez Zamora,69,30,24.2,19.25
Gómez Farías,11,28,22.993333333333336,11.449999999999998
Gómez Palacio,7,10,26.23,12.27
Güémez,13,28,28.55,16.43
Halachó,33,31,33.82,20.87
Hecelchakán,5,4,33.89,20.66
Hermenegildo Galeana,68,21,20.48,14.05
Hermosillo,30,26,28.73,13.98
Heroica Ciudad de Ejutla de Crespo,28,20,28.41,13.39
Heroica Ciudad de Huajuapan de León,39,20,29.58,14.31
Heroica Ciudad de Juchitán de Zaragoza,43,20,33.42,24.76
Heroica Ciudad de Tlaxiaco,397,20,25.38,11.53
Heroica Villa Tezoatlán de Segura y Luna,549,20,28.38,13.24
Hidalgo,47,19,24.669999999999998,12.776
Hidalgo del Parral,32,8,23.07,10.4
Hidalgotitlán,70,30,30.21,22.18
Higueras,28,19,25.85,14.23
Hocabá,34,31,34.95,19.75
Hoctún,35,31,34.8,19.61
Homún,36,31,34.74,19.83
Honey,57,21,22.61,11.01
Hopelchén,6,4,32.98,19.82
Hostotipaquillo,40,14,31.5,13.63
Huachinera,31,26,21.18,5.17
Huajicori,5,18,28.51,12.8
Hualahuises,29,19,26.61,13.34
Huamantla,13,29,23.73,9.11
Huamuxtitlán,33,12,30.79,16.22
Huandacareo,36,16,26.67,11.79
Huaniqueo,37,16,24.53,11.41
Huanusco,18,32,30.1,8.34
Huanímaro,16,11,30.03,13.59
Huaquechula,69,21,24.7,13.77
Huasca de Ocampo,24,13,21.2,9.09
Huatabampo,33,26,28.88,18.98
Huatlatlauca,70,21,27.87,15.87
Huatusco,71,30,24.31,15.29
Huauchinango,71,21,21.78,11.77
Huautepec,40,20,26.52,15.14
Huautla,25,13,25.94,19.16
Huautla de Jiménez,41,20,27.11,15.92
Huayacocotla,72,30,21.41,11.55
Huazalingo,26,13,22.94,17.05
Huehuetla,72,21,21.2,14.785
Huehuetlán,18,24,23.67,14.87
Huehuetlán el Chico,73,21,30.98,16.97
Huehuetlán el Grande,150,21,27.87,16.16
Huehuetoca,35,15,26.25,11.49
Huehuetán,37,7,31.55,21.8
Huejotitán,33,8,22.94,8.49
Huejotzingo,74,21,17.62,7.42
Huejuquilla el Alto,42,14,24.98,6.27
Huejutla de Reyes,28,13,25.07,18.48
Huejúcar,41,14,24.88,5.33
Huetamo,38,16,33.85,20.15
Hueyapan,75,21,18.77,11.22
Hueyapan de Ocampo,73,30,27.53,20.58
Hueyotlipan,14,29,25.14,9.98
Hueypoxtla,36,15,25.88,11.11
Hueytamalco,76,21,20.84,14.48
Hueytlalpan,77,21,19.94,12.55
Huhí,37,31,34.68,19.7
Huichapan,29,13,26.33,12.58
Huiloapan de Cuauhtémoc,74,30,23.92,14.56
Huimanguillo,8,27,30.76,22.95
Huimilpan,8,22,25.05,10.94
Huiramba,39,16,20.75,10.53
Huitiupán,39,7,27.48,15.52
Huitzilac,9,17,20.83,9.42
Huitzilan de Serdán,78,21,19.99,10.62
Huitziltepec,79,21,26.15,14.13
Huitzuco de los Figueroa,34,12,29.49,17.37
Huixquilucan,37,15,21.27,7.66
Huixtla,40,7,31.91,22.27
Huixtán,38,7,23.93,12.31
Hunucmá,38,31,32.15,21.62
Huásabas,32,26,23.96,8.56
Huépac,34,26,24.75,9.38
Ignacio Zaragoza,34,8,19.4,2.47
Ignacio de la Llave,75,30,29.17,22.58
Iguala de la Independencia,35,12,28.7,17.74
Igualapa,36,12,29.89,20.33
Ilamatlán,76,30,21.69,15.44
Iliatenco,81,12,26.64,17.78
Imuris,35,26,22.95,10.19
