nmun,idmun,ides,tmax,tmin
Abalá,1,31,34.37,19.74
Abasolo,1,19,27.8975,15.342500000000001
Abejones,1,20,25.25,10.84
Acacoyagua,1,7,30.4,18.99
Acajete,1,21,20.65,11.45
Acala,2,7,26.29,16.63
Acambay de Ruíz Castañeda,1,15,23.04,9.21
Acanceh,2,31,34.8,19.51
Acapetahua,3,7,32.81,23.42
Acaponeta,1,18,30.11,15.75
Acapulco de Juárez,1,12,30.65,23.19
Acateno,2,21,22.55,16.02
Acatepec,76,12,26.72,16.51
Acatic,1,14,27.9,12.73
Acatlán,2,30,25.923333333333332,13.763333333333334
Acatlán de Juárez,2,14,28.82,12.37
Acatlán de Pérez Figueroa,2,20,30.72,21.77
Acatzingo,4,21,23.39,12.11
Acaxochitlán,2,13,22.84,10.73
Acayucan,3,30,28.84,21.17
Acolman,2,15,26.35,14.11
Aconchi,1,26,25.5,9.99
Acteopan,5,21,24.3,13.6
Actopan,4,30,25.905,14.685
Acuamanala de Miguel Hidalgo,22,29,24.1,12.23
Acuitzio,1,16,20.92,11.84
Acula,5,30,28.87,22.6
Aculco,3,15,24.12,10.2
Acultzingo,6,30,23.22,12.3
Acuña,2,5,24.42,11.68
Acámbaro,2,11,25.21,10.7
Agua Blanca de Iturbide,4,13,21.68,11.47
Agua Dulce,204,30,29.7,22.04
Agua Prieta,2,26,22.08,8.47
Agualeguas,2,19,27.19,17.18
Aguascalientes,1,1,28.4,9.83
Aguililla,2,16,30.39,18.52
Ahome,1,25,29.78,19.76
Ahuacatlán,6,21,25.055,13.085
Ahuacuotzingo,2,12,28.31,15.9
Ahualulco,1,24,27.92,8.8
Ahualulco de Mercado,3,14,30.36,12.99
Ahuatlán,7,21,29.41,17.78
Ahuazotepec,8,21,22.51,10.38
Ahuehuetitla,9,21,31.61,18.12
Ahumada,1,8,20.74,7.7
Ajacuba,5,13,25.6,10.76
Ajalpan,10,21,26.01,13.79
Ajuchitlán del Progreso,3,12,26.98,18.95
Akil,3,31,33.99,19.42
Alamos,3,26,30.22,14.81
Alaquines,2,24,26.64,16.62
Albino Zertuche,11,21,31.88,17.43
Alcozauca de Guerrero,4,12,26.07,14.16
Aldama,113,7,24.75666666666667,14.396666666666667
Alfajayucan,6,13,27.46,11.46
Aljojuca,12,21,21.89,11.22
Allende,3,8,25.36,12.886666666666665
Almoloya,7,13,24.74,8.68
Almoloya de Alquisiras,4,15,17.19,10.39
Almoloya de Juárez,5,15,19.63,8.13
Almoloya del Río,6,15,19.69,9.9
Alpatláhuac,8,30,21.8,12.47
Alpoyeca,5,12,29.66,15.56
Altamira,3,28,27.52,20.65
Altamirano,4,7,26.43,15.76
Altar,4,26,26.62,12.84
Altepexi,13,21,28.61,14.48
Alto Lucero de Gutiérrez Barrios,9,30,27.64,18.51
Altotonga,10,30,20.01,11.69
Alvarado,11,30,27.67,23.02
Amacueca,4,14,24.09,10.91
Amacuzac,1,17,26.64,15.83
Amanalco,7,15,15.91,6.42
Amatenango de la Frontera,6,7,22.95,12.56
Amatenango del Valle,7,7,24.91,14.79
Amatepec,8,15,24.24,16.08
Amatitlán,12,30,28.69,22.1
Amatitán,5,14,30.72,12.75
Amatlán de Cañas,3,18,29.8,14.6
Amatlán de los Reyes,14,30,29.22,18.55
Amatán,5,7,26.71,18.0
Amaxac de Guerrero,1,29,24.61,10.72
Amealco de Bonfil,1,22,24.1,10.12
Ameca,6,14,29.22,12.85
Amecameca,9,15,18.01,9.42
Amixtlán,14,21,20.28,11.94
Amozoc,15,21,22.12,12.68
Angamacutiro,4,16,28.54,14.08
Angangueo,5,16,17.67,6.68
Angel Albino Corzo,8,7,24.74,14.89
Angel R. Cabada,15,30,26.59,21.64
Angostura,2,25,28.73,19.44
Antiguo Morelos,4,28,28.28,19.46
Anáhuac,5,19,28.12,15.08
Apan,8,13,24.59,8.62
Apaseo el Alto,4,11,27.23,11.78
Apaseo el Grande,5,11,27.82,12.23
Apatzingán,6,16,34.82,23.29
Apaxco,10,15,25.77,11.35
Apaxtla,6,12,28.51,18.28
Apazapan,17,30,28.71,18.24
Apetatitlán de Antonio Carvajal,2,29,25.49,11.31
Apizaco,5,29,24.6,9.98
Apodaca,6,19,26.91,15.66
Aporo,7,16,18.66,7.78
Apozol,1,32,29.64,11.79
Apulco,2,32,28.57,10.87
Aquila,18,30,25.4,16.794999999999998
Aquiles Serdán,4,8,21.98,13.07
Aquismón,3,24,25.83,15.98
Aquixtla,16,21,22.38,8.98
Aramberri,7,19,24.16,10.51
Arandas,8,14,27.44,12.0
Arcelia,7,12,28.14,19.07
Ario,9,16,24.93,17.12
Arivechi,5,26,25.63,7.01
Arizpe,6,26,23.84,8.69
Armadillo de los Infante,4,24,28.69,11.22
Armería,1,6,28.49,20.35
Arriaga,9,7,34.2,24.14
Arroyo Seco,3,22,24.92,12.98
Arteaga,4,5,26.205,15.135
Ascensión,5,8,21.32,10.13
Asientos,2,1,27.46,9.84
Astacinga,19,30,24.32,13.2
Asunción Cacalotepec,3,20,26.87,14.42
Asunción Cuyotepeji,4,20,27.52,12.36
Asunción Ixtaltepec,5,20,32.82,22.6
Asunción Nochixtlán,6,20,25.75,11.34
Asunción Ocotlán,7,20,29.46,16.19
Asunción Tlacolulita,8,20,30.99,18.79
Atarjea,6,11,23.05,9.91
Atemajac de Brizuela,10,14,24.81,11.54
Atempan,17,21,18.63,9.23
Atenango del Río,8,12,31.01,17.92
Atenco,11,15,24.56,15.24
Atengo,11,14,26.75,13.26
Atenguillo,12,14,25.76,13.02
Atexcal,18,21,28.12,13.79
Atil,7,26,26.76,12.94
Atitalaquia,10,13,26.71,11.12
Atizapán,12,15,19.86,9.57
Atizapán de Zaragoza,13,15,24.26,12.02
Atlacomulco,14,15,22.28,8.79
Atlahuilco,20,30,25.13,13.96
Atlamajalcingo del Monte,9,12,24.64,14.12
Atlangatepec,3,29,24.62,9.34
Atlapexco,11,13,24.93,18.39
Atlatlahucan,2,17,21.91,11.96
Atlautla,15,15,18.26,10.36
Atlequizayan,80,21,20.14,11.43
Atlixco,19,21,20.58,11.42
Atlixtac,10,12,25.5,14.63
Atltzayanca,4,29,24.83,9.69
Atolinga,3,32,26.3,10.03
Atotonilco de Tula,13,13,26.51,11.39
Atotonilco el Alto,13,14,29.2,12.84
Atotonilco el Grande,12,13,19.98,9.02
Atoyac,21,30,28.525,15.975
Atoyac de Álvarez,11,12,30.53,23.98
Atoyatempan,20,21,26.07,14.77
Atzacan,22,30,25.07,14.51
Atzala,21,21,29.89,17.21
Atzalan,23,30,21.56,13.68
Atzitzihuacán,22,21,22.95,12.73
Atzitzintla,23,21,19.58,11.19
Autlán de Navarro,15,14,24.99,13.03
Axapusco,16,15,25.31,11.29
Axochiapan,3,17,29.82,16.88
Axtla de Terrazas,53,24,24.92,16.23
Axutla,24,21,32.12,18.28
Ayahualulco,25,30,21.24,11.04
Ayala,4,17,29.61,16.9
Ayapango,17,15,18.3,9.7
Ayoquezco de Aldama,398,20,27.6,12.51
Ayotlán,16,14,29.7,13.19
Ayotoxco de Guerrero,25,21,21.15,13.98
Ayotzintepec,9,20,29.52,19.01
Ayutla,17,14,24.88,13.42
Ayutla de los Libres,12,12,29.56,19.4
Azcapotzalco,2,9,26.6,14.04
Azoyú,13,12,31.59,21.15
Baca,4,31,33.79,19.5
Bacadéhuachi,8,26,23.25,7.43
Bacalar,10,23,34.32,20.46
Bacanora,9,26,27.54,8.56
Bacerac,10,26,20.84,5.28
Bachíniva,6,8,17.43,4.6
Bacoachi,11,26,22.6,8.24
Badiraguato,3,25,28.08,12.61
Bahía de Banderas,20,18,27.85,21.73
Balancán,1,27,31.59,25.13
Balleza,7,8,19.78,1.72
Banderilla,26,30,21.94,12.87
Banámichi,13,26,24.98,9.37
Batopilas de Manuel Gómez Morín,8,8,27.73,12.07
Bavispe,15,26,22.47,7.11
Baviácora,14,26,25.67,10.29
Bejucal de Ocampo,10,7,22.86,11.91
Bella Vista,11,7,24.93,14.14
Benemérito de las Américas,114,7,32.57,20.45
Benito Juárez,14,9,27.775714285714287,16.46857142857143
Benjamín Hill,16,26,27.06,12.46
Berriozábal,12,7,24.64,17.54
Boca del Río,28,30,27.92,22.77
Bochil,13,7,23.99,14.47
Bocoyna,9,8,17.32,2.88
Bokobá,5,31,35.06,19.22
Bolaños,19,14,28.23,10.31
Briseñas,11,16,29.65,15.21
Buctzotz,6,31,34.99,18.74
Buenaventura,10,8,21.07,6.18
Buenavista,12,16,35.21,22.78
Buenavista de Cuéllar,15,12,27.02,16.39
Burgos,5,28,27.73,17.51
Bustamante,6,28,24.9,13.254999999999999
Bácum,12,26,30.15,14.75
Cabo Corrientes,20,14,27.96,21.14
Caborca,17,26,28.49,14.22
Cacahoatán,15,7,27.64,16.15
Cacalchén,7,31,35.2,19.36
Cadereyta Jiménez,9,19,27.55,15.03
Cadereyta de Montes,4,22,27.16,12.17
Cajeme,18,26,30.38,13.67
Calakmul,10,4,32.15,19.76
Calcahualco,29,30,20.62,11.67
Calera,5,32,25.15,7.11
Calihualá,11,20,28.56,14.4
Calimaya,18,15,18.42,8.74
Calkiní,1,4,32.63,20.91
Calnali,14,13,21.91,15.53
Calotmul,8,31,35.2,18.22
Calpan,26,21,16.59,7.15
Calpulalpan,6,29,22.94,8.79
Caltepec,27,21,27.5,12.78
Calvillo,3,1,28.88,8.2
Camargo,7,28,26.134999999999998,13.405000000000001
Camarón de Tejeda,7,30,31.43,20.67
Camerino Z. Mendoza,30,30,23.4,13.17
Camocuautla,28,21,20.27,12.18
Campeche,2,4,33.75,20.39
Cananea,19,26,21.53,7.92
Canatlán,1,10,22.12,5.78
Candela,5,5,25.59,15.57
Candelaria,11,4,34.17,24.38
Candelaria Loxicha,12,20,30.16,18.5
Canelas,2,10,21.62,7.4
Cansahcab,9,31,33.78,19.16
Cantamayec,10,31,34.58,19.13
Capitán Luis Ángel Vidal,120,7,25.57,14.05
Capulhuac,19,15,19.89,9.46
Capulálpam de Méndez,247,20,24.5,10.06
Carbó,20,26,27.36,12.85
Cardonal,15,13,24.4,11.02
Carichí,12,8,20.85,5.23
Carlos A. Carrillo,208,30,29.0,22.04
Carmen,3,4,31.72,23.94
Carrillo Puerto,31,30,31.48,21.47
Carácuaro,13,16,31.11,18.97
Casas,8,28,28.58,15.67
Casas Grandes,13,8,18.96,2.97
Casimiro Castillo,21,14,27.08,15.91
Castaños,6,5,24.31,12.79
Castillo de Teayo,157,30,23.53,18.68
Catazajá,16,7,31.24,23.5
Catemaco,32,30,26.94,20.46
Catorce,6,24,26.45,9.62
Caxhuacan,29,21,20.56,12.5
Cazones de Herrera,33,30,24.0,19.39
Cañada Morelos,99,21,23.24,12.61
Cañadas de Obregón,117,14,28.61,12.24
Cañitas de Felipe Pescador,6,32,26.22,7.65
Cedral,7,24,26.8,10.4
Celaya,7,11,28.8,11.97
Celestún,11,31,31.91,21.28
Cenotillo,12,31,35.69,18.53
Centla,3,27,32.75,22.71
Centro,4,27,31.53,23.0
Cerralvo,11,19,26.61,16.7
Cerritos,8,24,28.55,14.12
Cerro Azul,34,30,25.53,19.46
Cerro de San Pedro,9,24,29.22,9.61
Chacaltianguis,54,30,29.26,22.01
Chacsinkín,16,31,34.65,19.29
Chahuites,25,20,35.41,25.31
Chalcatongo de Hidalgo,26,20,25.85,12.65
Chalchicomula de Sesma,45,21,20.08,11.09
Chalchihuites,9,32,21.47,4.01
Chalchihuitán,22,7,26.37,13.33
Chalco,25,15,18.86,8.12
Chalma,55,30,26.86,19.47
Champotón,4,4,34.38,20.44
Chamula,23,7,21.04,11.7
Chanal,24,7,21.44,11.3
Chankom,17,31,35.74,18.83
Chapa de Mota,26,15,22.47,8.54
Chapab,18,31,34.17,19.53
Chapala,30,14,26.95,16.48
Chapantongo,17,13,26.08,11.22
Chapulco,46,21,24.31,12.61
Chapulhuacán,18,13,22.9,14.29
Chapultenango,25,7,24.07,17.15
Chapultepec,27,15,18.6,6.41
Charapan,21,16,24.94,11.87
Charcas,15,24,26.05,8.99
Charo,22,16,22.02,11.76
Chavinda,23,16,29.81,14.2
Chemax,19,31,35.44,18.09
Chenalhó,26,7,25.88,12.9
Cherán,24,16,23.87,11.24
Chiapa de Corzo,27,7,26.71,16.77
Chiapilla,28,7,29.02,19.34
Chiautempan,10,29,23.97,10.94
Chiautla,47,21,29.005,16.314999999999998
Chiautzingo,48,21,17.0,6.52
Chichimilá,21,31,35.97,18.37
Chichiquila,50,21,23.49,13.73
Chicoasén,29,7,24.49,15.74
Chicoloapan,29,15,22.48,11.96
Chicomuselo,30,7,26.75,16.64
Chiconamel,56,30,26.81,19.22
Chiconcuac,30,15,25.67,14.93
Chiconcuautla,49,21,21.1,11.03
Chiconquiaco,57,30,24.26,15.08
Chicontepec,58,30,25.4,19.04
Chicxulub Pueblo,20,31,33.09,19.91
Chietla,51,21,30.13,17.16
Chigmecatitlán,52,21,27.72,16.21
Chignahuapan,53,21,23.55,8.97
Chignautla,54,21,19.03,9.41
Chihuahua,19,8,21.35,7.05
Chikindzonot,22,31,35.62,18.91
Chila,55,21,29.34,14.8
Chila de la Sal,56,21,32.4,18.01
Chilapa de Álvarez,28,12,25.74,15.85
Chilchota,25,16,25.1,11.74
Chilchotla,58,21,20.76,10.97
Chilcuautla,19,13,27.33,11.14
