nmun,idmun,ides,tmax,tmin
Chilpancingo de los Bravo,29,12,23.78,17.54
Chilón,31,7,29.3,17.68
Chimalhuacán,31,15,25.2,14.48
Chimaltitán,31,14,28.39,11.15
China,13,19,28.03,19.13
Chinameca,59,30,29.57,21.46
Chinampa de Gorostiza,60,30,25.95,19.79
Chinantla,59,21,31.82,18.52
Chinicuila,26,16,29.49,17.72
Chiquihuitlán de Benito Juárez,27,20,26.1,14.2
Chiquilistlán,32,14,24.18,12.41
Chocamán,62,30,26.19,14.87
Chocholá,23,31,34.6,19.99
Choix,7,25,31.75,16.57
Chontla,63,30,26.55,19.54
Chucándiro,27,16,25.52,11.59
Chumatlán,64,30,21.75,16.11
Chumayel,24,31,34.19,19.28
Churintzio,28,16,29.14,13.93
Churumuco,29,16,32.3,20.13
Chínipas,20,8,28.33,11.47
Cihuatlán,22,14,30.74,20.95
Cintalapa,17,7,29.98,21.37
Citlaltépetl,35,30,26.25,19.51
Ciudad Fernández,11,24,29.34,14.13
Ciudad Ixtepec,14,20,32.93,22.17
Ciudad Madero,9,28,26.0,21.1
Ciudad Valles,13,24,27.39,18.67
Ciudad del Maíz,10,24,27.02,16.47
Ciénega de Flores,12,19,26.06,15.25
Ciénega de Zimatlán,13,20,27.67,12.57
Coacalco de Berriozábal,20,15,26.82,14.09
Coacoatzintla,36,30,21.86,12.9
Coahuayana,14,16,31.1,20.15
Coahuayutla de José María Izazaga,16,12,31.38,20.3
Coahuitlán,37,30,22.16,17.21
Coalcomán de Vázquez Pallares,15,16,28.01,16.37
Coapilla,18,7,26.66,16.89
Coatecas Altas,15,20,28.25,13.38
Coatepec,30,21,21.525,12.86
Coatepec Harinas,21,15,19.11,10.66
Coatlán del Río,5,17,24.88,14.6
Coatzacoalcos,39,30,29.04,22.36
Coatzingo,31,21,28.63,17.23
Coatzintla,40,30,22.94,18.12
Cochoapa el Grande,78,12,26.45,16.44
Cocotitlán,22,15,19.16,8.8
Cocula,17,12,28.725,15.339999999999998
Coeneo,16,16,24.26,11.53
Coetzala,41,30,28.92,18.17
Cohetzala,32,21,31.49,17.56
Cohuecan,33,21,23.63,13.13
Coicoyán de las Flores,16,20,26.31,14.8
Cojumatlán de Régules,74,16,27.32,15.36
Colima,2,6,28.29,17.46
Colipa,42,30,25.14,17.72
Colotlán,25,14,25.67,7.3
Colón,5,22,26.13,11.3
Comala,3,6,26.33,15.25
Comalcalco,5,27,29.91,22.71
Comapa,43,30,29.97,19.26
Comitán de Domínguez,19,7,27.06,17.02
Comondú,1,3,30.08,17.09
Comonfort,9,11,27.77,11.87
Compostela,4,18,28.44,19.16
Concepción Buenavista,18,20,27.0,12.08
Concepción Pápalo,19,20,27.17,13.51
Concepción de Buenos Aires,26,14,27.96,14.15
Concepción del Oro,7,32,25.52,9.57
Concordia,4,25,28.69,14.97
Coneto de Comonfort,3,10,23.78,8.19
Conkal,13,31,33.92,19.69
Constancia del Rosario,20,20,27.49,15.51
Contepec,17,16,21.29,8.21
Contla de Juan Cuamatzi,18,29,24.61,10.72
Copainalá,21,7,23.67,16.97
Copala,18,12,30.66,24.25
Copalillo,19,12,30.62,17.56
Copanatoyac,20,12,25.3,14.02
Copándaro,18,16,25.96,11.6
Coquimatlán,4,6,28.02,17.83
Coronado,14,8,23.6,11.3
Coronango,34,21,22.56,11.47
Coroneo,10,11,23.65,9.56
Corregidora,6,22,26.92,12.01
Cortazar,11,11,29.59,12.19
Cosalá,5,25,30.31,15.44
Cosamaloapan de Carpio,45,30,29.54,22.04
Cosautlán de Carvajal,46,30,23.95,14.36
Coscomatepec,47,30,23.75,13.71
Cosolapa,21,20,31.48,21.13
Cosoleacaque,48,30,29.7,21.52
Cosoltepec,22,20,29.12,14.43
Cosío,4,1,27.45,9.59
Cotaxtla,49,30,31.23,21.79
Cotija,19,16,28.22,15.44
Coxcatlán,35,21,26.255,15.295000000000002
Coxquihui,50,30,23.01,17.64
Coyame del Sotol,15,8,21.69,8.97
Coyoacán,3,9,24.88,12.47
Coyomeapan,36,21,27.09,14.61
Coyotepec,37,21,27.045,13.205
Coyuca de Benítez,21,12,30.53,23.91
Coyuca de Catalán,22,12,28.62,18.99
Coyutla,51,30,22.47,17.69
Cozumel,1,23,30.18,22.78
Cruillas,10,28,27.34,18.18
Cuajimalpa de Morelos,4,9,21.36,8.49
Cuajinicuilapa,23,12,32.12,22.98
Cualác,24,12,28.97,15.48
Cuapiaxtla,8,29,24.55,10.32
Cuapiaxtla de Madero,38,21,24.29,13.73
Cuatro Ciénegas,7,5,25.75,10.7
Cuauhtémoc,15,9,24.7625,11.1375
Cuautempan,39,21,20.33,10.43
Cuautepec,25,12,30.57,22.39
Cuautepec de Hinojosa,16,13,24.42,9.78
Cuautinchán,40,21,23.58,13.76
Cuautitlán,24,15,25.53,12.93
Cuautitlán Izcalli,121,15,25.16,12.77
Cuautitlán de García Barragán,27,14,26.49,15.01
Cuautla,28,14,26.42,14.425
Cuautlancingo,41,21,23.52,12.57
Cuaxomulco,9,29,23.92,10.13
Cuayuca de Andrade,42,21,30.0,17.75
Cucurpe,22,26,24.28,10.14
Cuencamé,4,10,23.77,10.16
Cuernavaca,7,17,22.47,12.3
Cuerámaro,12,11,30.5,13.39
Cuetzala del Progreso,26,12,28.48,17.77
Cuetzalan del Progreso,43,21,20.58,12.51
Cuichapa,52,30,30.3,20.4
Cuilápam de Guerrero,23,20,27.23,12.15
Cuitláhuac,53,30,31.15,21.22
Cuitzeo,20,16,26.58,11.67
Culiacán,6,25,30.45,17.41
Cumpas,23,26,24.07,8.47
Cuncunul,14,31,35.98,18.78
Cunduacán,6,27,30.39,22.95
Cuquío,29,14,27.86,13.28
Cusihuiriachi,18,8,20.13,6.16
Cutzamala de Pinzón,27,12,30.25,19.58
Cuyamecalco Villa de Zaragoza,24,20,27.27,14.12
Cuyoaco,44,21,22.35,9.9
Cuzamá,15,31,34.73,19.5
Cárdenas,5,24,29.475,19.6
Córdoba,44,30,28.04,16.83
Degollado,33,14,29.79,13.62
Del Nayar,9,18,27.55,11.83
Delicias,21,8,23.45,12.61
Divisaderos,24,26,25.39,9.3
Doctor Arroyo,14,19,26.07,10.5
Doctor Coss,15,19,28.41,19.96
Doctor González,16,19,26.67,15.98
Doctor Mora,13,11,21.28,9.67
Dolores Hidalgo Cuna de la Independencia Nacional,14,11,26.66,11.42
Domingo Arenas,60,21,17.68,7.67
Donato Guerra,32,15,17.72,8.61
Dr. Belisario Domínguez,22,8,22.94,10.02
Durango,5,10,23.2,3.67
Dzemul,26,31,32.8,19.76
Dzidzantún,27,31,32.71,19.95
Dzilam González,29,31,33.13,19.64
Dzilam de Bravo,28,31,31.44,20.51
Dzitás,30,31,35.91,18.58
Dzoncauich,31,31,35.1,18.81
Dzán,25,31,34.05,19.49
Ebano,16,24,28.72,20.28
Ecatepec de Morelos,33,15,27.85,15.71
Ecatzingo,34,15,17.11,8.81
Ecuandureo,30,16,30.46,14.0
Eduardo Neri,75,12,27.26,17.15
Ejutla,34,14,25.2,13.56
El Arenal,9,13,26.895,11.27
El Barrio de la Soledad,10,20,31.45,21.36
El Bosque,14,7,23.85,13.68
El Carmen,10,19,25.9,14.79
El Carmen Tequexquitla,7,29,24.23,10.82
El Espinal,30,20,33.52,23.77
El Fuerte,10,25,32.72,18.85
El Grullo,37,14,24.99,12.74
El Higo,205,30,27.62,19.63
El Limón,54,14,25.15,13.42
El Llano,10,1,27.21,9.96
El Mante,21,28,28.94,20.15
El Marqués,11,22,24.73,11.12
El Naranjo,58,24,26.07,18.11
El Oro,18,10,24.325000000000003,7.12
El Parral,122,7,31.22,20.28
El Plateado de Joaquín Amaro,15,32,26.59,7.59
El Porvenir,70,7,24.19,12.71
El Salto,70,14,28.99,13.67
El Salvador,41,32,25.88,9.11
El Tule,64,8,23.8,7.65
Elota,8,25,29.06,18.06
Eloxochitlán,61,21,24.595,13.915000000000001
Eloxochitlán de Flores Magón,29,20,27.49,15.34
Emiliano Zapata,7,27,27.671666666666667,16.425
Empalme,25,26,30.17,15.26
Encarnación de Díaz,35,14,28.61,10.75
Ensenada,1,2,24.38,14.48
Epatlán,62,21,28.73,17.15
Epazoyucan,22,13,24.62,9.9
Epitacio Huerta,31,16,22.92,9.17
Erongarícuaro,32,16,22.31,11.62
Escobedo,8,5,26.36,14.45
Escuinapa,9,25,30.32,17.73
Escuintla,32,7,30.11,18.86
Escárcega,9,4,35.12,21.99
Españita,12,29,22.71,8.67
Esperanza,63,21,20.87,11.78
Espinal,66,30,22.93,17.42
Espita,32,31,35.71,18.46
Etchojoa,26,26,30.31,16.99
Etzatlán,36,14,29.92,13.3
Ezequiel Montes,7,22,27.66,12.22
Felipe Carrillo Puerto,2,23,33.98,19.31
Filomeno Mata,67,30,21.44,15.74
Florencio Villarreal,30,12,27.68,24.02
Fortín,68,30,27.38,16.11
Francisco I. Madero,9,5,26.009999999999998,10.175
Francisco León,33,7,26.04,19.38
Francisco Z. Mena,64,21,23.43,18.68
Fresnillo,10,32,24.77,6.79
Fresnillo de Trujano,32,20,30.82,16.49
Frontera,10,5,24.69,14.83
Frontera Comalapa,34,7,26.23,16.38
Frontera Hidalgo,35,7,32.55,21.76
Fronteras,27,26,22.77,8.3
Gabriel Zamora,33,16,30.22,20.7
Galeana,23,8,22.43,7.665
García,18,19,24.62,12.62
Genaro Codina,12,32,22.0,6.66
General Bravo,20,19,28.02,19.55
General Canuto A. Neri,31,12,25.28,17.28
General Cepeda,11,5,24.59,9.26
General Enrique Estrada,13,32,25.11,7.0
General Escobedo,21,19,26.2,14.88
General Felipe Ángeles,65,21,22.29,11.88
General Francisco R. Murguía,14,32,25.97,8.2
General Heliodoro Castillo,32,12,25.6,17.3
General Plutarco Elías Calles,70,26,29.02,14.53
General Pánfilo Natera,16,32,27.09,9.94
General Simón Bolívar,6,10,25.32,12.93
General Terán,22,19,27.99,16.78
General Treviño,23,19,28.08,19.05
General Zaragoza,24,19,22.6,10.21
General Zuazua,25,19,26.06,15.23
González,12,28,28.77,20.39
Gran Morelos,26,8,22.39,8.54
Granados,28,26,24.76,9.04
Guachinango,38,14,28.78,13.83
Guachochi,27,8,18.95,3.96
Guadalajara,39,14,29.08,12.76
Guadalcázar,17,24,27.65,13.72
Guadalupe,66,21,26.325,12.6675
Guadalupe Etla,33,20,27.05,11.25
Guadalupe Victoria,67,21,23.27,7.885
Guadalupe de Ramírez,34,20,29.98,15.35
Guadalupe y Calvo,29,8,23.12,4.64
Guanaceví,9,10,22.31,1.76
Guanajuato,15,11,27.63,12.19
Guasave,11,25,31.27,19.13
Guaymas,29,26,29.56,14.76
Guazapares,30,8,27.99,12.38
Guelatao de Juárez,35,20,24.48,9.79
Guerrero,14,28,25.746666666666666,11.493333333333334
Guevea de Humboldt,36,20,30.55,18.93
Gustavo A. Madero,5,9,27.89,15.54
Gustavo Díaz Ordaz,15,28,28.65,17.47
Gutiérrez Zamora,69,30,24.72,19.73
Gómez Farías,11,28,23.183333333333334,11.733333333333334
Gómez Palacio,7,10,25.95,12.39
Güémez,13,28,28.54,16.61
Halachó,33,31,33.36,20.65
Hecelchakán,5,4,33.47,20.57
Hermenegildo Galeana,68,21,20.86,13.96
Hermosillo,30,26,29.24,13.92
Heroica Ciudad de Ejutla de Crespo,28,20,28.21,13.29
Heroica Ciudad de Huajuapan de León,39,20,28.87,13.65
Heroica Ciudad de Juchitán de Zaragoza,43,20,33.46,25.09
Heroica Ciudad de Tlaxiaco,397,20,25.51,10.96
Heroica Villa Tezoatlán de Segura y Luna,549,20,27.81,12.63
Hidalgo,47,19,24.786,12.751999999999999
Hidalgo del Parral,32,8,23.35,10.26
Hidalgotitlán,70,30,30.19,22.41
Higueras,28,19,25.54,14.74
Hocabá,34,31,34.91,19.36
Hoctún,35,31,34.86,19.18
Homún,36,31,34.71,19.34
Honey,57,21,22.03,11.02
Hopelchén,6,4,33.57,19.85
Hostotipaquillo,40,14,31.45,13.68
Huachinera,31,26,21.14,5.04
Huajicori,5,18,28.23,12.56
Hualahuises,29,19,26.67,13.85
Huamantla,13,29,23.2,9.37
Huamuxtitlán,33,12,30.65,16.19
Huandacareo,36,16,27.36,11.98
Huaniqueo,37,16,25.0,11.61
Huanusco,18,32,30.05,8.95
Huanímaro,16,11,30.32,13.54
Huaquechula,69,21,24.48,13.97
Huasca de Ocampo,24,13,21.43,9.05
Huatabampo,33,26,28.7,19.01
Huatlatlauca,70,21,27.57,16.1
Huatusco,71,30,25.68,15.33
Huauchinango,71,21,21.52,11.79
Huautepec,40,20,26.62,14.75
Huautla,25,13,25.83,19.08
Huautla de Jiménez,41,20,27.21,15.5
Huayacocotla,72,30,21.22,11.62
Huazalingo,26,13,23.02,17.07
Huehuetla,72,21,21.575,14.72
Huehuetlán,18,24,23.78,15.08
Huehuetlán el Chico,73,21,31.2,17.45
Huehuetlán el Grande,150,21,27.67,16.31
Huehuetoca,35,15,25.59,11.89
Huehuetán,37,7,32.09,21.99
Huejotitán,33,8,23.58,8.53
Huejotzingo,74,21,17.59,7.57
Huejuquilla el Alto,42,14,24.61,6.61
Huejutla de Reyes,28,13,25.43,18.46
Huejúcar,41,14,24.3,6.02
Huetamo,38,16,33.81,20.67
Hueyapan,75,21,19.62,11.04
Hueyapan de Ocampo,73,30,27.89,20.62
Hueyotlipan,14,29,25.03,9.97
Hueypoxtla,36,15,25.39,11.63
Hueytamalco,76,21,21.32,14.24
Hueytlalpan,77,21,20.34,12.28
Huhí,37,31,34.62,19.21
Huichapan,29,13,26.75,11.99
Huiloapan de Cuauhtémoc,74,30,24.47,13.82
Huimanguillo,8,27,30.62,23.1
Huimilpan,8,22,25.26,10.73
Huiramba,39,16,21.67,10.77
Huitiupán,39,7,27.86,15.84
Huitzilac,9,17,21.33,9.73
Huitzilan de Serdán,78,21,20.18,10.46
Huitziltepec,79,21,26.29,14.59
Huitzuco de los Figueroa,34,12,29.86,17.62
Huixquilucan,37,15,21.07,8.7
Huixtla,40,7,32.33,22.51
Huixtán,38,7,23.79,12.68
Hunucmá,38,31,31.78,21.2
Huásabas,32,26,24.03,8.57
Huépac,34,26,25.21,9.51
Ignacio Zaragoza,34,8,19.51,2.7
Ignacio de la Llave,75,30,29.05,22.22
Iguala de la Independencia,35,12,29.2,17.83
Igualapa,36,12,30.33,19.98
Ilamatlán,76,30,21.64,15.52
Iliatenco,81,12,26.89,16.99
Imuris,35,26,23.22,9.95
